Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
ambition,s,unconscious_bias,agentic,agentic,"['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals', 'growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']","['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']","['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals', 'growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']",
analysis,s,unconscious_bias,agentic,agentic,"['investigation', 'study with scientific care', 'close scrutiny', 'meticulous exploration', 'interpretation of data', 'data explorations', 'diagnostic methods', 'meticulous explorations', 'systematic approach to interpreting (...)']","['interpretation of data', 'data explorations', 'diagnostic methods', 'meticulous explorations']","['investigation', 'study with scientific care', 'close scrutiny', 'meticulous exploration', 'systematic approach to interpreting (...)', 'interpretation of data', 'data explorations', 'diagnostic methods', 'meticulous explorations']",analysis team | competitive analysis | data analysis | medical analysis
athlete,s,unconscious_bias,agentic,agentic,"['sportsperson', 'enthusiast', 'sportspeople', 'enthusiasts', 'someone who pursues goals(...)', 'energetic person(...)', 'someone with a sporting spirit(...)', 'person with a sense of fair play(...)', 'someone who works toward goals with focus and discipline(...)']","['sportspeople', 'enthusiasts', 'people who pursue goals(...)', 'energetic people(...)', 'everyone with a sporting spirit(...)', 'those with a sense of fair play(...)', 'people who work toward goals with focus and discipline(...)']","['sportsperson', 'enthusiast', 'someone who pursues goals(...)', 'energetic person(...)', 'someone with a sporting spirit(...)', 'person with a sense of fair play(...)', 'someone who works toward goals with focus and discipline(...)', 'sportspeople', 'enthusiasts']",
authority,s,unconscious_bias,agentic,agentic,"['consultant', 'clout', 'administration', 'capacity to win over', 'competence', 'influence', 'knowledge', 'skills', 'oversight', 'administrations', 'governances', 'governments', 'jurisdictions', 'someone with the knowledge and experience to see the big picture(...)', 'someone with a high level of knowledge (skills) in(...)', 'someone in a decision-making capacity(...)']","['administrations', 'governances', 'governments', 'jurisdictions', 'competence', 'influence', 'knowledge', 'skills', 'oversight', 'people with high levels of knowledge (skills) in(...)', 'consultants(...)', 'people who have the knowledge and experience they need to see the big picture(...)']","['competence', 'influence', 'knowledge', 'skills', 'oversight', 'consultant', 'clout', 'administration', 'capacity to win over', 'someone with the knowledge and experience to see the big picture(...)', 'someone with a high level of knowledge (skills) in(...)', 'someone in a decision-making capacity(...)', 'administrations', 'governances', 'governments', 'jurisdictions']",authority figure | authority figure | proof of authority | position of authority | positions of authority | letter of athority | statement of authority | certificate of authority | nature of authority | the authorities
battle,s,unconscious_bias,agentic,agentic,"['encounter', 'discussion', 'effort', 'work', 'endeavor', 'debate', 'discourse', 'encounters', 'discussions', 'efforts', 'work', 'endeavors', 'debates', 'discourses']","['encounters', 'discussions', 'efforts', 'work', 'endeavors', 'debates', 'discourses']","['encounter', 'discussion', 'effort', 'work', 'endeavor', 'debate', 'discourse', 'encounters', 'discussions', 'efforts', 'work', 'endeavors', 'debates', 'discourses']",
champion,s,unconscious_bias,agentic,agentic,"['role model', 'advocate', 'supporter', 'ally', 'proponent', 'campaigner', 'promoter', 'upholder', 'they', 'role models', 'advocates', 'supporters', 'allies', 'proponents', 'campaigners', 'promoters', 'upholders']","['role models', 'advocates', 'supporters', 'allies', 'proponents', 'campaigners', 'promoters', 'upholders']","['role model', 'advocate', 'supporter', 'ally', 'proponent', 'campaigner', 'promoter', 'upholder', 'they', 'role models', 'advocates', 'supporters', 'allies', 'proponents', 'campaigners', 'promoters', 'upholders']",
conquest,s,unconscious_bias,agentic,agentic,"['discovery', 'takeover', 'acquisition', 'appropriation', ""--- don't use for people"", 'appropriation', 'takeovers', 'acquisitions']","['takeovers', 'acquisitions', 'appropriation', ""--- don't use for people""]","[""--- don't use for people"", 'discovery', 'takeover', 'acquisition', 'appropriation', 'appropriation', 'takeovers', 'acquisitions']",
decision,s,unconscious_bias,agentic,agentic,"['conclusion', 'choice', 'agreement', 'consensus', 'conclusions', 'choices', 'agreements', 'consensus', ""one's mind made up(...)"", 'settlement of an issue(...)', 'end of an official argument(...)', 'legal judgment(...)']","['conclusions', 'choices', 'agreements', 'consensus', 'mind made up about (...)', 'settlement of an issue(...)', 'end of a official argument(...)', 'legal judgments(...)']","['conclusion', 'choice', 'agreement', 'consensus', ""one's mind made up(...)"", 'settlement of an issue(...)', 'end of an official argument(...)', 'legal judgment(...)', 'conclusions', 'choices', 'agreements', 'consensus']",decision process | decision-making | uncoerced decision | uncoerced decisions | own decisions
greed,s,unconscious_bias,agentic,agentic,"['appetite', 'desire', 'lively interest', 'appetite (for ...)', 'desire (for ...)', 'interest (in ...)', 'enthusiasm (for ...)', 'lively interest (in ...)', 'acquisitive mind(...)']","['appetites (for ...)', 'desires (for ...)', 'interests (in ...)', 'enthusiasms (for ...)', 'lively interests (in ...)', 'acquisitive minds(...)']","['appetite', 'desire', 'lively interest', 'appetite (for ...)', 'desire (for ...)', 'interest (in ...)', 'enthusiasm (for ...)', 'lively interest (in ...)', 'acquisitive mind(...)']",
hierarchy,s,unconscious_bias,agentic,agentic,"['vertical organizational structure', 'chain of command', 'pyramid-like management structure', 'vertical organizational structures', 'chains of command', 'pyramid-like management structures']","['vertical organizational structures', 'chains of command', 'pyramid-like management structures']","['vertical organizational structure', 'chain of command', 'pyramid-like management structure', 'vertical organizational structures', 'chains of command', 'pyramid-like management structures']",
hostility,s,unconscious_bias,agentic,agentic,"['diverging views', 'difference of perspectives', 'difference in perspectives', 'diverging interests', 'diverging views', 'divergent positions', 'diverging interests', 'differences of perspectives', 'differences in perspectives']","['diverging views', 'divergent positions', 'diverging interests', 'differences of perspectives', 'differences in perspectives']","['diverging views', 'difference of perspectives', 'difference in perspectives', 'diverging interests', 'diverging views', 'divergent positions', 'diverging interests', 'differences of perspectives', 'differences in perspectives']",
hunger,s,unconscious_bias,agentic,agentic,"['appetite', 'desire', 'lively interest', 'appetites', 'desires', 'lively interests']","['appetites', 'desires', 'lively interests']","['appetite', 'desire', 'lively interest', 'appetites', 'desires', 'lively interests']",
hunter,s,unconscious_bias,agentic,agentic,"['searcher', 'forager', 'gatherer', 'seeker', 'searchers', 'foragers', 'gatherers', 'seekers']","['searchers', 'foragers', 'gatherers', 'seekers']","['searcher', 'forager', 'gatherer', 'seeker', 'searchers', 'foragers', 'gatherers', 'seekers']",
individuality,s,unconscious_bias,agentic,agentic,"['personal style', 'identity', 'character', 'personality', 'the qualities that make you who you are(...)']",['the qualities that make you who you are(...)'],"['personal style', 'identity', 'character', 'personality', 'the qualities that make you who you are(...)']",
