Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
designer,s,gendered,titles,generic_plural,"['design creative', 'they', 'design', 'design team', 'designers', 'design creatives']","['designers', 'design creatives', 'design team', 'design']","['design', 'design creative', 'they', 'design team', 'designers', 'design creatives']"
developer,s,gendered,titles,generic_plural,"['they', 'development', 'development team', 'developers', 'colleague in development(...)']","['developers', 'development team', 'development', 'colleagues in development(...)']","['development', 'they', 'colleague in development(...)', 'development team', 'developers']"
director,s,gendered,leadership,generic_plural,"['they', 'directors', 'person who supports and motivates the team(...)', 'person who communicates a shared vision(...)', 'someone who communicates expectations(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)']","['directors', 'people who support the team(...)', 'people who communicate expectations(...)', 'people who communicate a shared vision(...)', 'people who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)']","['they', 'person who supports and motivates the team(...)', 'person who communicates a shared vision(...)', 'someone who communicates expectations(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'directors']"
doorman,s,gendered,titles,generic_plural,"['door keeper', 'door attendant', 'they', 'door keepers', 'door attendants']","['door keepers', 'door attendants']","['door keeper', 'door attendant', 'they', 'door keepers', 'door attendants']"
dude,s,gendered,function,function,"['friend', 'you', 'friends', 'people', 'folks', 'you']","['friends', 'people', 'folks', 'you']","['friend', 'you', 'friends', 'people', 'folks', 'you']"
engineer,s,gendered,titles,generic_plural,"['they', 'engineering', 'development', 'engineering team', 'development team', 'engineers', 'person filling a role in engineering(...)', 'person in development(...)', 'colleague in engineering(...)']","['engineers', 'engineering team', 'development team', 'engineering', 'development', 'people in development(...)', 'colleagues in engineering(...)', 'people in engineering(...)']","['engineering', 'development', 'they', 'person filling a role in engineering(...)', 'person in development(...)', 'colleague in engineering(...)', 'engineering team', 'development team', 'engineers']"
every-man,s,gendered,function,function,"['everybody', 'everyone', 'all', 'all']",['all'],"['everybody', 'everyone', 'all', 'all']"
everyman,s,gendered,function,function,"['everybody', 'everyone', 'all', 'all']",['all'],"['everybody', 'everyone', 'all', 'all']"
expert,s,gendered,function,generic_plural,"['skilled person', 'experienced person', 'trained person', 'knowledgeable person', 'they', 'experts', 'skilled people', 'experienced people', 'trained people', 'knowledgeable people']","['experts', 'skilled people', 'experienced people', 'trained people', 'knowledgeable people']","['skilled person', 'experienced person', 'trained person', 'knowledgeable person', 'they', 'experts', 'skilled people', 'experienced people', 'trained people', 'knowledgeable people']"
fatherland,s,gendered,advanced_hidden_image,advanced_hidden_image,"['native land', 'homeland']",[],"['native land', 'homeland']"
fireman,s,gendered,titles,titles,"['fire fighter', 'they', 'fire department', 'fire crew', 'fire fighters']","['fire fighters', 'fire crew', 'fire department']","['fire department', 'fire fighter', 'they', 'fire crew', 'fire fighters']"
firewoman,s,gendered,titles,titles,"['fire fighter', 'they', 'fire department', 'fire crew', 'fire fighters']","['fire fighters', 'fire crew', 'fire department']","['fire department', 'fire fighter', 'they', 'fire crew', 'fire fighters']"
fisherman,s,gendered,titles,titles,"['fisher', 'crew member', 'fishing', 'fishery', 'fishing crew', 'fisherfolk', 'fishers']","['fisherfolk', 'fishers', 'fishing crew', 'fishing', 'fishery']","['fishing', 'fishery', 'fisher', 'crew member', 'fishing crew', 'fisherfolk', 'fishers']"
fisherwoman,s,gendered,titles,titles,"['fisher', 'crew member', 'fishing', 'fishery', 'fishing crew', 'fisherfolk', 'fishers']","['fisherfolk', 'fishers', 'fishing crew', 'fishing', 'fishery']","['fishing', 'fishery', 'fisher', 'crew member', 'fishing crew', 'fisherfolk', 'fishers']"
foreman,s,gendered,titles,titles,"['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']","['supervisors', 'forepersons']","['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']"
forewoman,s,gendered,titles,titles,"['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']","['supervisors', 'forepersons']","['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']"
freshman,s,gendered,function,function,"['first-year student', 'fresher', 'they', 'first-year students', 'freshers']","['first-year students', 'freshers']","['first-year student', 'fresher', 'they', 'first-year students', 'freshers']"
freshwoman,s,gendered,function,function,"['first-year student', 'fresher', 'they', 'first-year students', 'freshers']","['first-year students', 'freshers']","['first-year student', 'fresher', 'they', 'first-year students', 'freshers']"
frontman,s,gendered,function,function,"['front', 'figurehead', 'fronts', 'figureheads']","['fronts', 'figureheads']","['front', 'figurehead', 'fronts', 'figureheads']"
