Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
his/her,~s||~s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]",
she or he,~s||~s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']",
she/he,~s||~s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']",
attention-seeking,~a,gendered,female_stereotype,female_stereotype,"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption(...)', 'tending to cause disruption(...)']",[],"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption(...)', 'tending to cause disruption(...)']",
beautiful,a,gendered,female_stereotype,female_stereotype,"['attractive', '--- avoid when describing people', 'good-looking(...)']",['--- avoid when describing people'],"['--- avoid when describing people', 'attractive', 'good-looking(...)']",
bossy,a,gendered,female_stereotype,female_stereotype,"['in charge', 'supervising', 'responsible for results', 'communicating expectations']",[],"['in charge', 'supervising', 'responsible for results', 'communicating expectations']",
camp,a,gendered,female_stereotype,female_stereotype,"['over-the-top', 'feminine', 'exaggerated']",[],"['over-the-top', 'feminine', 'exaggerated']",
child prostitute,~s|s,gendered,female_stereotype,female_stereotype,"['sexual assault survivor', 'sexual assault survivors']",['sexual assault survivors'],"['sexual assault survivor', 'sexual assault survivors']",
go into hysterics,v||~s,gendered,female_stereotype,female_stereotype,"['grow very upset', 'get angry', 'become agitated']",[],"['grow very upset', 'get angry', 'become agitated']",
histrionic,a,gendered,female_stereotype,female_stereotype,"['with histrionic personality disorder', 'with histrionic personality disorder (HPD)', 'people with histrionic personality disorder (HPD)', 'people with HPD', 'lively(...)', 'dramatic(...)', 'emotional and energetic(...)']","['people with histrionic personality disorder (HPD)', 'people with HPD']","['with histrionic personality disorder', 'with histrionic personality disorder (HPD)', 'lively(...)', 'dramatic(...)', 'emotional and energetic(...)', 'people with histrionic personality disorder (HPD)', 'people with HPD']",histrionic personality disorder
hysterical,a,gendered,female_stereotype,female_stereotype,"['hilarious', 'frantic', 'distraught', 'agitated', 'irrational']",[],"['hilarious', 'frantic', 'distraught', 'agitated', 'irrational']",
in hysterics,|~s,gendered,female_stereotype,female_stereotype,"['very upset', 'angry', 'agitated']",[],"['very upset', 'angry', 'agitated']",
non-consentual sex,a|~s,gendered,female_stereotype,female_stereotype,['rape'],[],['rape'],
rape victim,~s|s,gendered,female_stereotype,female_stereotype,"['sexual assault survivor', 'sexual assault survivors']",['sexual assault survivors'],"['sexual assault survivor', 'sexual assault survivors']",
seek attention,v|s,gendered,female_stereotype,female_stereotype,"['seek validation', 'be lively', 'be at ease in social situations', 'be outgoing']",[],"['seek validation', 'be lively', 'be at ease in social situations', 'be outgoing']",
sex with a minor,~s|||s,gendered,female_stereotype,female_stereotype,['rape of a minor'],[],['rape of a minor'],
sex with minors,~s||~s,gendered,female_stereotype,female_stereotype,['rape of minors'],[],['rape of minors'],
submissive,a,gendered,female_stereotype,female_stereotype,"['cooperative', 'open to compromise', 'keen to keep peace', 'willing to accommodate', 'willing to accommodate others']",[],"['cooperative', 'open to compromise', 'keen to keep peace', 'willing to accommodate', 'willing to accommodate others']",
talkative,a,gendered,female_stereotype,female_stereotype,"['articulate', 'happy to communicate']",[],"['articulate', 'happy to communicate']",
underage woman,~a|~s,gendered,female_stereotype,female_stereotype,['child'],[],['child'],
underage women,~a|~s,gendered,female_stereotype,female_stereotype,['children'],[],['children'],
whine,v,gendered,female_stereotype,female_stereotype,"['complain', 'grouse', 'grumble', 'express doubts', 'be open about their doubts(...)', 'annoy by repeatedly complaining(...)', 'annoy with repeated complaints(...)', 'annoy someone with repeated complaints(...)']",[],"['complain', 'grouse', 'grumble', 'express doubts', 'be open about their doubts(...)', 'annoy by repeatedly complaining(...)', 'annoy with repeated complaints(...)', 'annoy someone with repeated complaints(...)']",
Dear sir,=|,gendered,function,function,"['Dear ((name or professional title))', 'Dear ((name of department)) team']",[],"['Dear ((name or professional title))', 'Dear ((name of department)) team']",
user of,s|,gendered,function,function,"['people using', 'person using(...)']",['people using'],"['person using(...)', 'people using']",
big boy,a|s,gendered,leadership,leadership,"['higher-up', 'supervisor', 'executive', 'management', 'administration', 'higher-ups', 'supervisors', 'executives']","['higher-ups', 'supervisors', 'executives', 'management', 'administration']","['management', 'administration', 'higher-up', 'supervisor', 'executive', 'higher-ups', 'supervisors', 'executives']",
