Lemma,Word_Type,Category,Primary_subcategory,Alt_split
light in the pants,a|||=s,openly_discriminating,homophobia,['-']
limp wrist,=a|s,openly_discriminating,homophobia,['-']
limp-wristed,=a,openly_discriminating,homophobia,['-']
meat masseuse,~s|s,openly_discriminating,homophobia,['-']
muscle Mary,~s|s,openly_discriminating,homophobia,['-']
ogay,s,openly_discriminating,homophobia,['-']
oklahomo,s,openly_discriminating,homophobia,['-']
Pansy,s,openly_discriminating,homophobia,['-']
payaso,s,openly_discriminating,homophobia,['-']
peterpuffer,s,openly_discriminating,homophobia,['-']
poofter,s,openly_discriminating,homophobia,['-']
potato queen,~s|s,openly_discriminating,homophobia,['-']
pussy-puncher,s,openly_discriminating,homophobia,['-']
queen,s,openly_discriminating,homophobia,['-']
rice queen,~s|s,openly_discriminating,homophobia,['-']
ring raider,~s|s,openly_discriminating,homophobia,['-']
Salsa queen,~s|s,openly_discriminating,homophobia,['-']
sissy,s,openly_discriminating,homophobia,['-']
sod,s,openly_discriminating,homophobia,['-']
switch-hitter,s,openly_discriminating,homophobia,['-']
taco queen,~s|s,openly_discriminating,homophobia,['-']
twink,s,openly_discriminating,homophobia,['-']
woofter,s,openly_discriminating,homophobia,['-']
woolie woofter,~s|s,openly_discriminating,homophobia,['-']
woolly,s,openly_discriminating,homophobia,['-']
ahole,s,openly_discriminating,offensive_language,['-']
arse,s,openly_discriminating,offensive_language,['-']
arsehole,s,openly_discriminating,offensive_language,['-']
arsewipe,s,openly_discriminating,offensive_language,['-']
ass,s,openly_discriminating,offensive_language,['-']
ass clown,~s|s,openly_discriminating,offensive_language,['-']
ass face,~s|s,openly_discriminating,offensive_language,['-']
ass fuck,~s|s,openly_discriminating,offensive_language,['-']
ass monkey,~s|s,openly_discriminating,offensive_language,['-']
ass munch,~s|s,openly_discriminating,offensive_language,['-']
ass-can,s,openly_discriminating,offensive_language,['-']
ass-wipe,s,openly_discriminating,offensive_language,['-']
asscan,s,openly_discriminating,offensive_language,['-']
assclown,s,openly_discriminating,offensive_language,['-']
asshole,s,openly_discriminating,offensive_language,['-']
assholery,s,openly_discriminating,offensive_language,['-']
bad egg,a|s,openly_discriminating,offensive_language,['-']
bag of shit,s||~s,openly_discriminating,offensive_language,['-']
bastard,s,openly_discriminating,offensive_language,['-']
bat fastard,~s|s,openly_discriminating,offensive_language,['-']
