Lemma,Word_Type,Category,Primary_subcategory,Alt_split
grey queen,s,openly_discriminating,homophobia,['-']
gym bunny,s,openly_discriminating,homophobia,['-']
half breed,s,openly_discriminating,racism,['-']
half caste,s,openly_discriminating,racism,['-']
herp derp,s,openly_discriminating,ableism,['-']
hooch cooch,s,openly_discriminating,racism,['-']
horse's petute,s,openly_discriminating,offensive_language,['-']
hose beast,s,openly_discriminating,offensive_language,['-']
house boy,s,openly_discriminating,racism,['-']
indian giver,s,openly_discriminating,racism,['-']
j cat,s,openly_discriminating,offensive_language,['-']
jack hole,s,openly_discriminating,offensive_language,['-']
jack off,v,openly_discriminating,offensive_language,['-']
jack shit,s,openly_discriminating,offensive_language,['-']
jack wagon,s,openly_discriminating,offensive_language,['-']
jag off,s,openly_discriminating,offensive_language,['-']
jag wagon,s,openly_discriminating,offensive_language,['-']
jerk ass,s,openly_discriminating,offensive_language,['-']
jerk face,s,openly_discriminating,offensive_language,['-']
jew boy,s,openly_discriminating,antisemitism,['-']
jungle fever,s,openly_discriminating,racism,['-']
kitty puncher,s,openly_discriminating,homophobia,['-']
knife nose,s,openly_discriminating,antisemitism,['-']
lady boy,s,openly_discriminating,transphobia,['-']
lame ass,s,openly_discriminating,offensive_language,['-']
lame o,s,openly_discriminating,offensive_language,['-']
light in the fedora,i,openly_discriminating,homophobia,['-']
light in the loafers,i,openly_discriminating,homophobia,['-']
light in the pants,i,openly_discriminating,homophobia,['-']
limp wrist,a+s,openly_discriminating,homophobia,['-']
limp wristed,=a,openly_discriminating,homophobia,['-']
meat masseuse,s,openly_discriminating,homophobia,['-']
mo fo,s,openly_discriminating,offensive_language,['-']
mother fucker,s,openly_discriminating,offensive_language,['-']
mother trucker,s,openly_discriminating,offensive_language,['-']
muscle Mary,s,openly_discriminating,homophobia,['-']
oven dodger,s,openly_discriminating,antisemitism,['-']
oxygen thief,s,openly_discriminating,offensive_language,['-']
pancake face,s,openly_discriminating,racism,['-']
pay lay,s,openly_discriminating,offensive_language,['-']
penis face,s,openly_discriminating,offensive_language,['-']
pickle fucker,s,openly_discriminating,offensive_language,['-']
piece of shit,s,openly_discriminating,offensive_language,['-']
piss ant,s,openly_discriminating,offensive_language,['-']
potato queen,s,openly_discriminating,homophobia,['-']
prairie nigger,s,openly_discriminating,racism,['-']
psycho bitch,s,openly_discriminating,offensive_language,['-']
pud whacker,s,openly_discriminating,offensive_language,['-']
pussy puncher,s,openly_discriminating,homophobia,['-']
rice queen,s,openly_discriminating,homophobia,['-']
ring raider,s,openly_discriminating,homophobia,['-']
sack of shit,s,openly_discriminating,offensive_language,['-']
sand nigger,s,openly_discriminating,antimuslim,['-']
scum bucket,s,openly_discriminating,offensive_language,['-']
scum of the earth,s,openly_discriminating,offensive_language,['-']
shit fucker,s,openly_discriminating,offensive_language,['-']
sick fuck,s,openly_discriminating,offensive_language,['-']
slant eye,s,openly_discriminating,racism,['-']
son of a gun,s,openly_discriminating,offensive_language,['-']
sons of bitches,s,openly_discriminating,offensive_language,['-']
switch hitter,s,openly_discriminating,homophobia,['-']
taco head,s,openly_discriminating,xenophobia,['-']
taco queen,s,openly_discriminating,homophobia,['-']
timber nigger,s,openly_discriminating,racism,['-']
towel head,s,openly_discriminating,antimuslim,['-']
trench coat,s,openly_discriminating,offensive_language,['-']
trophy wife,s,openly_discriminating,sexism,['-']
welfare queen,s,openly_discriminating,sexism,['-']
white trash,s,openly_discriminating,racism,['-']
window licker,s,openly_discriminating,ableism,['-']
woolie woofter,s,openly_discriminating,homophobia,['-']
