Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Service-desk-Agent,s,gendered,titles,"['Servicedesk-Mitarbeiter~in~/~Servicedesk-Mitarbeiter', 'Person, die für das Servicedesk arbeitet(...)', 'Person, die im integrierten IT-Dienst arbeitet(...)', 'Person, die sich darum kümmert, dass der IT-Betrieb zuverlässig läuft(...)', 'Servicedesk(...)']","['Servicedesk-Mitarbeitende', 'Servicedesk-Mitarbeiter~innen~ und ~Servicedesk-Mitarbeiter', 'Personen, die für das Servicedesk arbeiten(...)', 'Personen, die sich darum kümmern, dass der IT-Betrieb zuverlässig läuft(...)']","['Servicedesk-Mitarbeiter~in~/~Servicedesk-Mitarbeiter', 'Person, die für das Servicedesk arbeitet(...)', 'Person, die im integrierten IT-Dienst arbeitet(...)', 'Person, die sich darum kümmert, dass der IT-Betrieb zuverlässig läuft(...)', 'Servicedesk(...)', 'Servicedesk-Mitarbeitende', 'Servicedesk-Mitarbeiter~innen~ und ~Servicedesk-Mitarbeiter', 'Personen, die für das Servicedesk arbeiten(...)', 'Personen, die sich darum kümmern, dass der IT-Betrieb zuverlässig läuft(...)']"
Mitarbeiterdialog,s,gendered,advanced_hidden_image,"['Jahresaustausch', 'Jahresdialog', 'Führungsdialog', 'Gespräch mit Mitarbeitenden']","['Jahresdialoge', 'Führungsdialoge', 'Gespräche mit Mitarbeitenden']","['Jahresaustausch', 'Jahresdialog', 'Führungsdialog', 'Gespräch mit Mitarbeitenden', 'Jahresdialoge', 'Führungsdialoge', 'Gespräche mit Mitarbeitenden']"
Experteninterview,s,gendered,advanced_hidden_image,"['Interview mit Fachleuten', 'Interview mit Koryphäen']","['Interviews mit Fachleuten', 'Gespräche mit Sachkundigen']","['Interview mit Fachleuten', 'Interview mit Koryphäen', 'Interviews mit Fachleuten', 'Gespräche mit Sachkundigen']"
Mutterunternehmen,s,gendered,advanced_hidden_image,"['Obergesellschaft', 'Dachgesellschaft', 'Dachunternehmen', 'Dachorganisation', 'Konzerndach']","['Obergesellschaften', 'Dachgesellschaften', 'Dachunternehmen', 'Dachorganisationen', 'Dachkonzerne']","['Obergesellschaft', 'Dachgesellschaft', 'Dachunternehmen', 'Dachorganisation', 'Konzerndach', 'Obergesellschaften', 'Dachgesellschaften', 'Dachunternehmen', 'Dachorganisationen', 'Dachkonzerne']"
Wählerverzeichnis,s,gendered,advanced_hidden_image,['Wahlverzeichnis'],['Wahlverzeichnisse'],"['Wahlverzeichnis', 'Wahlverzeichnisse']"
Benutzeranleitung,s,gendered,advanced_hidden_image,"['Bedienungsanleitung', 'Gebrauchsanleitung', 'Gebrauchsanweisung', 'Anwendungsanleitung']","['Bedienungsanleitungen', 'Gebrauchsanleitungen', 'Gebrauchsanweisungen']","['Bedienungsanleitung', 'Gebrauchsanleitung', 'Gebrauchsanweisung', 'Anwendungsanleitung', 'Bedienungsanleitungen', 'Gebrauchsanleitungen', 'Gebrauchsanweisungen']"
Expertenschätzung,s,gendered,advanced_hidden_image,"['Schätzung von Fachleuten', 'nach fachkundiger Einschätzung', 'Gutachten']","['Schätzungen von Fachleuten', 'nach fachkundigen Einschätzungen', 'Gutachten']","['Schätzung von Fachleuten', 'nach fachkundiger Einschätzung', 'Gutachten', 'Schätzungen von Fachleuten', 'nach fachkundigen Einschätzungen', 'Gutachten']"
Tochtergeschwulst,s,gendered,advanced_hidden_image,['Metastase'],['Metastasen'],"['Metastase', 'Metastasen']"
Dozententätigkeit,s,gendered,advanced_hidden_image,['Lehrtätigkeit'],['Lehrtätigkeiten'],"['Lehrtätigkeit', 'Lehrtätigkeiten']"
Pendlerpauschale,s,gendered,advanced_hidden_image,['Pendelpauschale'],['Pendelpauschalen'],"['Pendelpauschale', 'Pendelpauschalen']"
