infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben,zu lieben
klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,haben,zu klieben
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben,zu belfern
chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,haben,zu chatten
wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,haben,zu wissen
schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,haben,zu schnabulieren
brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,haben,zu brechen
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben,abzubrechen
anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,haben,anzubrechen
aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,sein,aufzubrechen
ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,haben,auszubrechen
einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,sein,einzubrechen
verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,haben,zu verbrechen
zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,haben,zu zerbrechen
büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,haben,zu büffeln
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben,zu oktroyieren
winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,haben,zu winken
machen,mache,machst,macht,machte,gemacht,machte,mache,macht,haben,zu machen
schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,haben,zu schmeißen
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben,zu besinnen
untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,haben,zu untersuchen
kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben,zu kaufen
wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben,zu wohnen
sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,haben,zu sehen
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben,zu aalen
essen,esse,isst,isst,aß,gegessen,äße,iss,esst,haben,zu essen
trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,haben,zu trinken
gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein,zu gehen
wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,sein,zu wandeln
lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,haben,zu lecken
ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,haben,zu ficken
intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,haben,zu intendieren
kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,haben,zu kochen
kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,haben,zu kiffen
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben,zu sprechen
delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,haben,zu delegieren
akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben,zu akzeptieren
stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben,zu stipulieren
liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,haben,zu liegen
ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,haben,auszuscheiden
zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,haben,zu zocken
googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,haben,zu googeln
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben,abzubaumen
abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein,abzuschmieren
ignorieren,ignoriere,ignorierst,ignoriert,ignorierte,ignoriert,ignorierte,ignoriere,ignoriert,haben,zu ignorieren
sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,haben,zu sparen
fliegen,fliege,fliegst,fliegt,flog,geflogen,flöge,flieg,fliegt,sein,zu fliegen
delektieren,delektiere,delektierst,delektiert,delektierte,delektiert,delektierte,delektier,delektiert,haben,zu delektieren
schweigen,schweige,schweigst,schweigt,schwieg,geschwiegen,schwiege,schweige,schweigt,haben,zu schweigen
verstehen,verstehe,verstehst,versteht,verstand,verstanden,verstände,verstehe,versteht,haben,zu verstehen
hören,höre,hörst,hört,hörte,gehört,hörte,hör,hört,haben,zu hören
lesen,lese,liest,liest,las,gelesen,läse,lies,lest,haben,zu lesen
akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,haben,zu akkumulieren
marodieren,marodiere,marodierst,marodiert,marodierte,marodiert,marodierte,marodiere,marodiert,haben,zu marodieren
schleifen,schleife,schleifst,schleift,schleifte,geschleift,schleifte,schleife,schleift,haben,zu schleifen
haben,habe,hast,hat,hatte,gehabt,hätte,habe,habt,haben,zu haben
können,kann,kannst,kann,konnte,gekonnt,könnte,—,—,haben,zu können
rasen,rase,rast,rast,raste,gerast,raste,ras,rast,sein,zu rasen
fernsehen,sehe fern,siehst fern,sieht fern,sah fern,ferngesehen,sähe fern,sieh fern,seht fern,haben,fernzusehen
produzieren,produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,haben,zu produzieren
arbeiten,arbeite,arbeitest,arbeitet,arbeitete,gearbeitet,arbeitete,arbeite,arbeitet,haben,zu arbeiten
denken,denke,denkst,denkt,dachte,gedacht,dächte,denk,denkt,haben,zu denken
kriegen,kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,haben,zu kriegen
radebrechen,radebreche,radebrechst,radebrecht,radebrechte,geradebrecht,radebrechte,radebreche,radebrecht,haben,zu radebrechen
billigen,billige,billigst,billigt,billigte,gebilligt,billigte,billige,billigt,haben,zu billigen
sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,haben,zu sitzen
laufen,laufe,läufst,läuft,lief,gelaufen,liefe,lauf,lauft,sein,zu laufen
schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben,zu schreiben
verzweifeln,verzweifle,verzweifelst,verzweifelt,verzweifelte,verzweifelt,verzweifelte,verzweifle,verzweifelt,sein,zu verzweifeln
schlagen,schlage,schlägst,schlägt,schlug,geschlagen,schlüge,schlag,schlagt,haben,zu schlagen
knuddeln,knuddele,knuddelst,knuddelt,knuddelte,geknuddelt,knuddelte,knuddele,knuddelt,haben,zu knuddeln
gucken,gucke,guckst,guckt,guckte,geguckt,guckte,guck,guckt,haben,zu gucken
verlieren,verliere,verlierst,verliert,verlor,verloren,verlöre,verliere,verliert,haben,zu verlieren
blasen,blase,bläst,bläst,blies,geblasen,bliese,blas,blast,haben,zu blasen
spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,haben,zu spulgen
küssen,küsse,küsst,küsst,küsste,geküsst,küsste,küss,küsst,haben,zu küssen
ausrichten,richte aus,richtest aus,richtet aus,richtete aus,ausgerichtet,richtete aus,richte aus,richtet aus,haben,auszurichten
interagieren,interagiere,interagierst,interagiert,interagierte,interagiert,interagierte,interagiere,interagiert,haben,interzuagieren
saturieren,saturiere,saturierst,saturiert,saturierte,saturiert,saturierte,saturiere,saturiert,haben,zu saturieren
lernen,lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,haben,zu lernen
retten,rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,haben,zu retten
autorisieren,autorisiere,autorisierst,autorisiert,autorisierte,autorisiert,autorisierte,autorisier,autorisiert,haben,zu autorisieren
paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,haben,paraphzurasieren
lehren,lehre,lehrst,lehrt,lehrte,gelehrt,lehrte,lehre,lehrt,haben,zu lehren
poppen,poppe,poppst,poppt,poppte,gepoppt,poppte,poppe,poppt,haben,zu poppen
vögeln,vögele,vögelst,vögelt,vögelte,gevögelt,vögelte,vögele,vögelt,haben,zu vögeln
stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,haben,zu stehen
paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,haben,zu paaren
flügeln,flügle,flügelst,flügelt,flügelte,geflügelt,flügelte,flügele,flügelt,haben,zu flügeln
paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,sein,zu paddeln
paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,haben,zu paffen
ansagen,sage an,sagst an,sagt an,sagte an,angesagt,sagte an,sag an,sagt an,haben,anzusagen
kuscheln,kuschle,kuschelst,kuschelt,kuschelte,gekuschelt,kuschelte,kuschle,kuschelt,haben,zu kuscheln
aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben,zu aasen
ausreizen,reize aus,reizt aus,reizt aus,reizte aus,ausgereizt,reizte aus,reiz aus,reizt aus,haben,auszureizen
töten,töte,tötest,tötet,tötete,getötet,tötete,töte,tötet,haben,zu töten
sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,sein,zu sterben
paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,haben,zu paktieren
mauern,maure,mauerst,mauert,mauerte,gemauert,mauerte,mauer,mauert,haben,zu mauern
weinen,weine,weinst,weint,weinte,geweint,weinte,weine,weint,haben,zu weinen
pudern,pudere,puderst,pudert,puderte,gepudert,puderte,pudere,pudert,haben,zu pudern
pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,haben,zu pimpern
dehnen,dehne,dehnst,dehnt,dehnte,gedehnt,dehnte,dehn,dehnt,haben,zu dehnen
sammeln,sammle,sammelst,sammelt,sammelte,gesammelt,sammelte,sammle,sammelt,haben,zu sammeln
krökeln,krökele,krökelst,krökelt,krökelte,gekrökelt,krökelte,krökele,krökelt,haben,zu krökeln
schnackseln,schnacksle,schnackselst,schnackselt,schnackselte,geschnackselt,schnackselte,schnacksle,schnackselt,haben,zu schnackseln
koitieren,koitiere,koitierst,koitiert,koitierte,koitiert,koitierte,koitiere,koitiert,haben,zu koitieren
schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,haben,zu schummeln
amalgamieren,amalgamiere,amalgamierst,amalgamiert,amalgamierte,amalgamiert,amalgamierte,amalgamiere,amalgamiert,haben,zu amalgamieren
klauen,klaue,klaust,klaut,klaute,geklaut,klaute,klaue,klaut,haben,zu klauen
fressen,fresse,frisst,frisst,fraß,gefressen,fräße,friss,fresst,haben,zu fressen
schmieren,schmiere,schmierst,schmiert,schmierte,geschmiert,schmierte,schmiere,schmiert,haben,zu schmieren
simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,haben,zu simsen
vermeinen,vermeine,vermeinst,vermeint,vermeinte,vermeint,vermeinte,vermeine,vermeint,haben,zu vermeinen
finishen,finishe,finishst,finisht,finishte,gefinisht,finishte,finishe,finisht,haben,zu finishen
sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben,zu sieben
aufhören,höre auf,hörst auf,hört auf,hörte auf,aufgehört,hörte auf,hör auf,hört auf,haben,aufzuhören
schenken,schenke,schenkst,schenkt,schenkte,geschenkt,schenkte,schenk,schenkt,haben,zu schenken
reden,rede,redest,redet,redete,geredet,redete,red,redet,haben,zu reden
packen,packe,packst,packt,packte,gepackt,packte,pack,packt,haben,zu packen
reizen,reize,reizt,reizt,reizte,gereizt,reizte,reize,reizt,haben,zu reizen
palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,haben,zu palavern
kirren,kirre,kirrst,kirrt,kirrte,gekirrt,kirrte,kirr,kirrt,haben,zu kirren
suchen,suche,suchst,sucht,suchte,gesucht,suchte,suche,sucht,haben,zu suchen
hindern,hindere,hinderst,hindert,hinderte,gehindert,hinderte,hindere,hindert,haben,zu hindern
wollen,will,willst,will,wollte,gewollt,wollte,—,—,haben,zu wollen
anstellen,stelle an,stellst an,stellt an,stellte an,angestellt,stellte an,stell an,stellt an,haben,anzustellen
schaffen,schaffe,schaffst,schafft,schuf,geschaffen,schüfe,schaffe,schafft,haben,zu schaffen
lassen,lasse,lässt,lässt,ließ,gelassen,ließe,lass,lasst,haben,zu lassen
aufstehen,stehe auf,stehst auf,steht auf,stand auf,aufgestanden,stände auf,steh auf,steht auf,sein,aufzustehen
unterhalten,unterhalte,unterhältst,unterhält,unterhielt,unterhalten,unterhielte,unterhalte,unterhaltet,haben,zu unterhalten
anbieten,biete an,bietest an,bietet an,bot an,angeboten,böte an,biet an,bietet an,haben,anzubieten
schnüffeln,schnüffle,schnüffelst,schnüffelt,schnüffelte,geschnüffelt,schnüffelte,schnüffel,schnüffelt,haben,zu schnüffeln
abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,haben,abzuacheln
panieren,paniere,panierst,paniert,panierte,paniert,panierte,paniere,paniert,haben,zu panieren
entbehren,entbehre,entbehrst,entbehrt,entbehrte,entbehrt,entbehrte,entbehre,entbehrt,haben,zu entbehren
schlafen,schlafe,schläfst,schläft,schlief,geschlafen,schliefe,schlaf,schlaft,haben,zu schlafen
panschen,pansche,panschst,panscht,panschte,gepanscht,panschte,pansch,panscht,haben,zu panschen
anschneien,schneie an,schneist an,schneit an,schneite an,angeschneit,schneite an,schnei an,schneit an,haben,anzuschneien
parken,parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,haben,zu parken
quacksalbern,quacksalber,quacksalberst,quacksalbert,quacksalberte,gequacksalbert,quacksalberte,quacksalber,quacksalbert,haben,zu quacksalbern
quaken,quake,quakst,quakt,quakte,gequakt,quakte,quake,quakt,haben,zu quaken
kremieren,kremiere,kremierst,kremiert,kremierte,kremiert,kremierte,kremiere,kremiert,haben,zu kremieren
bekommen,bekomme,bekommst,bekommt,bekam,bekommen,bekäme,bekomm,bekommt,haben,zu bekommen
zwirnen,zwirne,zwirnst,zwirnt,zwirnte,gezwirnt,zwirnte,zwirne,zwirnt,haben,zu zwirnen
checken,checke,checkst,checkt,checkte,gecheckt,checkte,check,checkt,haben,zu checken
kujonieren,kujoniere,kujonierst,kujoniert,kujonierte,kujoniert,kujonierte,kujonier,kujoniert,haben,zu kujonieren
träumen,träume,träumst,träumt,träumte,geträumt,träumte,träume,träumt,haben,zu träumen
regredieren,regrediere,regredierst,regrediert,regredierte,regrediert,regredierte,regrediere,regrediert,haben,zu regredieren
despektieren,despektiere,despektierst,despektiert,despektierte,despektiert,despektierte,despektiere,despektiert,haben,zu despektieren
flöten,flöte,flötest,flötet,flötete,geflötet,flötete,flöte,flötet,haben,zu flöten
avisieren,avisiere,avisierst,avisiert,avisierte,avisiert,avisierte,avisiere,avisiert,haben,zu avisieren
profilieren,profiliere,profilierst,profiliert,profilierte,profiliert,profilierte,profilier,profiliert,haben,zu profilieren
geben,gebe,gibst,gibt,gab,gegeben,gäbe,gib,gebt,haben,zu geben
mausen,mause,maust,maust,mauste,gemaust,mauste,mause,maust,haben,zu mausen
bürsten,bürste,bürstest,bürstet,bürstete,gebürstet,bürstete,bürste,bürstet,haben,zu bürsten
jähren,jähre,jährst,jährt,jährte,gejährt,jährte,jähr,jährt,haben,zu jähren
verkuppeln,verkupple,verkuppelst,verkuppelt,verkuppelte,verkuppelt,verkuppelte,verkupple,verkuppelt,haben,zu verkuppeln
ziehen,ziehe,ziehst,zieht,zog,gezogen,zöge,ziehe,zieht,haben,zu ziehen
lachen,lache,lachst,lacht,lachte,gelacht,lachte,lache,lacht,haben,zu lachen
bekriegen,bekriege,bekriegst,bekriegt,bekriegte,bekriegt,bekriegte,bekriege,bekriegt,haben,zu bekriegen
erregen,errege,erregst,erregt,erregte,erregt,erregte,errege,erregt,haben,zu erregen
antreten,trete an,trittst an,tritt an,trat an,angetreten,träte an,tritt an,tretet an,haben,anzutreten
promovieren,promoviere,promovierst,promoviert,promovierte,promoviert,promovierte,promoviere,promoviert,haben,zu promovieren
zunehmen,nehme zu,nimmst zu,nimmt zu,nahm zu,zugenommen,nähme zu,nimm zu,nehmt zu,haben,zuzunehmen
abnehmen,nehme ab,nimmst ab,nimmt ab,nahm ab,abgenommen,nähme ab,nimm ab,nehmt ab,haben,abzunehmen
kriechen,krieche,kriechst,kriecht,kroch,gekrochen,kröche,kriech,kriecht,sein,zu kriechen
zeichnen,zeichne,zeichnest,zeichnet,zeichnete,gezeichnet,zeichnete,zeichne,zeichnet,haben,zu zeichnen
handeln,handle,handelst,handelt,handelte,gehandelt,handelte,handle,handelt,haben,zu handeln
kosten,koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,haben,zu kosten
ameliorieren,amelioriere,ameliorierst,amelioriert,ameliorierte,amelioriert,ameliorierte,ameliorier,amelioriert,haben,zu ameliorieren
verabschieden,verabschiede,verabschiedest,verabschiedet,verabschiedete,verabschiedet,verabschiedete,verabschied,verabschiedet,haben,zu verabschieden
tradieren,tradiere,tradierst,tradiert,tradierte,tradiert,tradierte,tradiere,tradiert,haben,zu tradieren
wirken,wirke,wirkst,wirkt,wirkte,gewirkt,wirkte,wirk,wirkt,haben,zu wirken
beherbergen,beherberge,beherbergst,beherbergt,beherbergte,beherbergt,beherbergte,beherberg,beherbergt,haben,zu beherbergen
bumsen,bumse,bumst,bumst,bumste,gebumst,bumste,bums,bumst,haben,zu bumsen
desavouieren,desavouiere,desavouierst,desavouiert,desavouierte,desavouiert,desavouierte,desavouiere,desavouiert,haben,zu desavouieren
kolportieren,kolportiere,kolportierst,kolportiert,kolportierte,kolportiert,kolportierte,kolportiere,kolportiert,haben,zu kolportieren
fundieren,fundiere,fundierst,fundiert,fundierte,fundiert,fundierte,fundiere,fundiert,haben,zu fundieren
heucheln,heuchele,heuchelst,heuchelt,heuchelte,geheuchelt,heuchelte,heuchele,heuchelt,haben,zu heucheln
saufen,saufe,säufst,säuft,soff,gesoffen,söffe,sauf,sauft,haben,zu saufen
backen,backe,bäckst,bäckt,buk,gebacken,büke,backe,backt,haben,zu backen
scheißen,scheiße,scheißt,scheißt,schiss,geschissen,schisse,scheiß,scheißt,haben,zu scheißen
recherchieren,recherchiere,recherchierst,recherchiert,recherchierte,recherchiert,recherchierte,recherchiere,recherchiert,haben,zu recherchieren
konfundieren,konfundiere,konfundierst,konfundiert,konfundierte,konfundiert,konfundierte,konfundier,konfundiert,haben,zu konfundieren
abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,haben,abzubacken
befangen,befange,befängst,befängt,befinge,befangen,befinge,befang,befangt,haben,zu befangen
antichambrieren,antichambriere,antichambrierst,antichambriert,antichambrierte,antichambriert,antichambrierte,antichambriere,antichambriert,haben,anzutichambrieren
schöpfen,schöpfe,schöpfst,schöpft,schöpfte,geschöpft,schöpfte,schöpfe,schöpft,haben,zu schöpfen
überlegen,überlege,überlegst,überlegt,überlegte,überlegt,überlegte,überlege,überlegt,haben,zu überlegen
spielen,spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,haben,zu spielen
prolongieren,prolongiere,prolongierst,prolongiert,prolongierte,prolongiert,prolongierte,prolongiere,prolongiert,haben,prozulongieren
evaluieren,evaluiere,evaluierst,evaluiert,evaluierte,evaluiert,evaluierte,evaluiere,evaluiert,haben,zu evaluieren
exponieren,exponiere,exponierst,exponiert,exponierte,exponiert,exponierte,exponiere,exponiert,haben,zu exponieren
ülmen,ülme,ülmst,ülmt,ülmte,geülmt,ülmte,ülme,ülmt,haben,zu ülmen
stilisieren,stilisiere,stilisierst,stilisiert,stilisierte,stilisiert,stilisierte,stilisier,stilisiert,haben,zu stilisieren
funzen,funze,funzt,funzt,funzte,gefunzt,funzte,funze,funzt,haben,zu funzen
konstituieren,konstituiere,konstituierst,konstituiert,konstituierte,konstituiert,konstituierte,konstituiere,konstituiert,haben,zu konstituieren
riskieren,riskiere,riskierst,riskiert,riskierte,riskiert,riskierte,riskiere,riskiert,haben,zu riskieren
gewinnen,gewinne,gewinnst,gewinnt,gewann,gewonnen,gewönne,gewinn,gewinnt,haben,zu gewinnen
fallen,falle,fällst,fällt,fiel,gefallen,fiele,falle,fallt,sein,zu fallen
reiten,reite,reitest,reitet,ritt,geritten,ritte,reit,reitet,sein,zu reiten
füttern,füttere,fütterst,füttert,fütterte,gefüttert,fütterte,füttere,füttert,haben,zu füttern
besuchen,besuche,besuchst,besucht,besuchte,besucht,besuchte,besuch,besucht,haben,zu besuchen
frieren,friere,frierst,friert,fror,gefroren,fröre,frier,friert,haben,zu frieren
leben,lebe,lebst,lebt,lebte,gelebt,lebte,lebe,lebt,haben,zu leben
fungieren,fungiere,fungierst,fungiert,fungierte,fungiert,fungierte,fungier,fungiert,haben,zu fungieren
indoktrinieren,indoktriniere,indoktrinierst,indoktriniert,indoktrinierte,indoktriniert,indoktrinierte,indoktriniere,indoktriniert,haben,zu indoktrinieren
ausmerzen,merze aus,merzt aus,merzt aus,merzte aus,ausgemerzt,merzte aus,merz aus,merzt aus,haben,auszumerzen
reglementieren,reglementiere,reglementierst,reglementiert,reglementierte,reglementiert,reglementierte,reglementiere,reglementiert,haben,zu reglementieren
schälen,schäle,schälst,schält,schälte,geschält,schälte,schäl,schält,haben,zu schälen
beseitigen,beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,haben,zu beseitigen
auseinandersetzen,setze auseinander,setzt auseinander,setzt auseinander,setzte auseinander,auseinandergesetzt,setzte auseinander,setz auseinander,setzt auseinander,haben,auszueinandersetzen
saugen,sauge,saugst,saugt,saugte,gesaugt,saugte,saug,saugt,haben,zu saugen
implizieren,impliziere,implizierst,impliziert,implizierte,impliziert,implizierte,impliziere,impliziert,haben,zu implizieren
kaskadieren,kaskadiere,kaskadierst,kaskadiert,kaskadierte,kaskadiert,kaskadierte,kaskadier,kaskadiert,haben,zu kaskadieren
raiden,raide,raidest,raidet,raidete,geraidet,raidete,raide,raidet,haben,zu raiden
aliquotieren,aliquotiere,aliquotierst,aliquotiert,aliquotierte,aliquotiert,aliquotierte,aliquotiere,aliquotiert,haben,zu aliquotieren
foppen,foppe,foppst,foppt,foppte,gefoppt,foppte,fopp,foppt,haben,zu foppen
ändern,ändere,änderst,ändert,änderte,geändert,änderte,ändere,ändert,haben,zu ändern
transformieren,transformiere,transformierst,transformiert,transformierte,transformiert,transformierte,transformiere,transformiert,haben,zu transformieren
kompromittieren,kompromittiere,kompromittierst,kompromittiert,kompromittierte,kompromittiert,kompromittierte,kompromittier,kompromittiert,haben,zu kompromittieren
zahlen,zahle,zahlst,zahlt,zahlte,gezahlt,zahlte,zahle,zahlt,haben,zu zahlen
dingen,dinge,dingst,dingt,dang,gedungen,dänge,dinge,dingt,haben,zu dingen
spinnen,spinne,spinnst,spinnt,spann,gesponnen,spönne,spinn,spinnt,haben,zu spinnen
spleißen,spleiße,spleißt,spleißt,spliss,gesplissen,splisse,spleiß,spleißt,haben,zu spleißen
verklären,verkläre,verklärst,verklärt,verklärte,verklärt,verklärte,verkläre,verklärt,haben,zu verklären
stippen,stippe,stippst,stippt,stippte,gestippt,stippte,stipp,stippt,haben,zu stippen
medisieren,medisiere,medisierst,medisiert,medisierte,medisiert,medisierte,medisier,medisiert,haben,zu medisieren
paraphieren,paraphiere,paraphierst,paraphiert,paraphierte,paraphiert,paraphierte,paraphiere,paraphiert,haben,zu paraphieren
proggen,progge,proggst,proggt,proggte,geproggt,proggte,progge,proggt,haben,zu proggen
beobachten,beobachte,beobachtest,beobachtet,beobachtete,beobachtet,beobachtete,beobachte,beobachtet,haben,zu beobachten
daddeln,daddle,daddelst,daddelt,daddelte,gedaddelt,daddelte,daddle,daddelt,haben,zu daddeln
einen,eine,einst,eint,einte,geeint,einte,eine,eint,haben,einzuen
sistieren,sistiere,sistierst,sistiert,sistierte,sistiert,sistierte,sistiere,sistiert,haben,zu sistieren
monetarisieren,monetarisiere,monetarisierst,monetarisiert,monetarisierte,monetarisiert,monetarisierte,monetarisier,monetarisiert,haben,zu monetarisieren
beschälen,—,—,beschält,beschälte,beschält,beschälte,—,—,haben,zu beschälen
reüssieren,reüssiere,reüssierst,reüssiert,reüssierte,reüssiert,reüssierte,reüssiere,reüssiert,haben,zu reüssieren
absorbieren,absorbiere,absorbierst,absorbiert,absorbierte,absorbiert,absorbierte,absorbiere,absorbiert,haben,abzusorbieren
chillen,chille,chillst,chillt,chillte,gechillt,chillte,chill,chillt,haben,zu chillen
lancieren,lanciere,lancierst,lanciert,lancierte,lanciert,lancierte,lanciere,lanciert,haben,zu lancieren
antizipieren,antizipiere,antizipierst,antizipiert,antizipierte,antizipiert,antizipierte,antizipier,antizipiert,haben,anzutizipieren
hasardieren,hasardiere,hasardierst,hasardiert,hasardierte,hasardiert,hasardierte,hasardiere,hasardiert,haben,zu hasardieren
adsorbieren,adsorbiere,adsorbierst,adsorbiert,adsorbierte,adsorbiert,adsorbierte,adsorbiere,adsorbiert,haben,zu adsorbieren
intervenieren,interveniere,intervenierst,interveniert,intervenierte,interveniert,intervenierte,interveniere,interveniert,haben,zu intervenieren
pushen,pushe,pushst,pusht,pushte,gepusht,pushte,push,pusht,haben,zu pushen
annektieren,annektiere,annektierst,annektiert,annektierte,annektiert,annektierte,annektier,annektiert,haben,anzunektieren
streichen,streiche,streichst,streicht,strich,gestrichen,striche,streiche,streicht,haben,zu streichen
reisen,reise,reist,reist,reiste,gereist,reiste,reise,reist,sein,zu reisen
krakeelen,krakeele,krakeelst,krakeelt,krakeelte,krakeelt,krakeelte,krakeel,krakeelt,haben,zu krakeelen
postulieren,postuliere,postulierst,postuliert,postulierte,postuliert,postulierte,postuliere,postuliert,haben,zu postulieren
innervieren,innerviere,innervierst,innerviert,innervierte,innerviert,innervierte,innervier,innerviert,haben,zu innervieren
schwätzen,schwätze,schwätzt,schwätzt,schwätzte,geschwätzt,schwätzte,schwätze,schwätzt,haben,zu schwätzen
massolieren,massoliere,massolierst,massoliert,massolierte,massoliert,massolierte,massoliere,massoliert,haben,zu massolieren
restringieren,restringiere,restringierst,restringiert,restringierte,restringiert,restringierte,restringiere,restringiert,haben,zu restringieren
onanieren,onaniere,onanierst,onaniert,onanierte,onaniert,onanierte,onaniere,onaniert,haben,zu onanieren
denunzieren,denunziere,denunzierst,denunziert,denunzierte,denunziert,denunzierte,denunziere,denunziert,haben,zu denunzieren
laktieren,laktiere,laktierst,laktiert,laktierte,laktiert,laktierte,laktiere,laktiert,haben,zu laktieren
