infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
entbleien,entbleie,entbleist,entbleit,entbleite,entbleit,entbleite,entblei,entbleit,haben,zu entbleien
entchloren,entchlore,entchlorst,entchlort,entchlorte,entchlort,entchlorte,entchlor,entchlort,haben,zu entchloren
entschwefeln,entschwefele,entschwefelst,entschwefelt,entschwefelte,entschwefelt,entschwefelte,entschwefel,entschwefelt,haben,zu entschwefeln
entwurmen,entwurme,entwurmst,entwurmt,entwurmte,entwurmt,entwurmte,entwurm,entwurmt,haben,zu entwurmen
entschuppen,entschuppe,entschuppst,entschuppt,entschuppte,entschuppt,entschuppte,entschupp,entschuppt,haben,zu entschuppen
entrosten,entroste,entrostest,entrostet,entrostete,entrostet,entrostete,entrost,entrostet,haben,zu entrosten
überfluten,überflute,überflutest,überflutet,überflutete,überflutet,überflutete,überflute,überflutet,haben,zu überfluten
entsteinen,entsteine,entsteinst,entsteint,entsteinte,entsteint,entsteinte,entstein,entsteint,haben,zu entsteinen
steinen,steine,steinst,steint,steinte,gesteint,steinte,stein,steint,haben,zu steinen
entfärben,entfärbe,entfärbst,entfärbt,entfärbte,entfärbt,entfärbte,entfärb,entfärbt,haben,zu entfärben
entschrotten,entschrotte,entschrottest,entschrottet,entschrottete,entschrottet,entschrottete,entschrott,entschrottet,haben,zu entschrotten
überschwemmen,überschwemme,überschwemmst,überschwemmt,überschwemmte,überschwemmt,überschwemmte,überschwemme,überschwemmt,haben,zu überschwemmen
klarkommen,komme klar,kommst klar,kommt klar,kam klar,klargekommen,käme klar,komm klar,kommt klar,sein,klarzukommen
klarlegen,lege klar,legst klar,legt klar,legte klar,klargelegt,legte klar,leg klar,legt klar,haben,klarzulegen
klarmachen,mache klar,machst klar,macht klar,machte klar,klargemacht,machte klar,mach klar,macht klar,haben,klarzumachen
entkrauten,entkraute,entkrautest,entkrautet,entkrautete,entkrautet,entkrautete,entkraut,entkrautet,haben,zu entkrauten
entölen,entöle,entölst,entölt,entölte,entölt,entölte,entöl,entölt,haben,zu entölen
entaschen,entasche,entaschst,entascht,entaschte,entascht,entaschte,entasch,entascht,haben,zu entaschen
entgraten,entgrate,entgratest,entgratet,entgratete,entgratet,entgratete,entgrat,entgratet,haben,zu entgraten
entsalzen,entsalze,entsalzt,entsalzt,entsalzte,entsalzt,entsalzte,entsalz,entsalzt,haben,zu entsalzen
entgasen,entgase,entgast,entgast,entgaste,entgast,entgaste,entgas,entgast,haben,zu entgasen
koken,koke,kokst,kokt,kokte,gekokt,kokte,kok,kokt,haben,zu koken
entloben,entlobe,entlobst,entlobt,entlobte,entlobt,entlobte,entlob,entlobt,haben,zu entloben
entgelten,entgelte,entgiltst,entgilt,entgalt,entgolten,entgälte,entgilt,entgeltet,haben,zu entgelten
entäußern,entäußere,entäußerst,entäußert,entäußerte,entäußert,entäußerte,entäußer,entäußert,haben,zu entäußern
entrußen,entruße,entrußt,entrußt,entrußte,entrußt,entrußte,entruß,entrußt,haben,zu entrußen
entrippen,entrippe,entrippst,entrippt,entrippte,entrippt,entrippte,entripp,entrippt,haben,zu entrippen
straufen,straufe,straufst,strauft,straufte,gestrauft,straufte,strauf,strauft,haben,zu straufen
entsahnen,entsahne,entsahnst,entsahnt,entsahnte,entsahnt,entsahnte,entsahn,entsahnt,haben,zu entsahnen
sahnen,sahne,sahnst,sahnt,sahnte,gesahnt,sahnte,sahn,sahnt,haben,zu sahnen
entstielen,entstiele,entstielst,entstielt,entstielte,entstielt,entstielte,entstiel,entstielt,haben,zu entstielen
zerstückeln,zerstückele,zerstückelst,zerstückelt,zerstückelte,zerstückelt,zerstückelte,zerstückele,zerstückelt,haben,zu zerstückeln
