Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
foreman,s,,gendered,titles,"['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']","['supervisors', 'forepersons']","['supervisor', 'foreperson', 'they', 'supervisors', 'forepersons']"
freshman,s,,gendered,function,"['first-year student', 'they', 'first-year students']",['first-year students'],"['first-year student', 'they', 'first-year students']"
gun-man,s,,gendered,function,"['shooter', 'they', 'shooters']",['shooters'],"['shooter', 'they', 'shooters']"
gunman,s,,gendered,function,"['shooter', 'they', 'shooters']",['shooters'],"['shooter', 'they', 'shooters']"
guy,s,1,gendered,function,"['person', 'friend', 'you', 'team', 'crowd', 'people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you']","['people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you', 'team', 'crowd']","['person', 'friend', 'you', 'team', 'crowd', 'people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you']"
head,s,1,gendered,leadership,"['they', 'heads', 'person who supports and motivates the team', 'someone who comunicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals']",['heads'],"['they', 'person who supports and motivates the team', 'someone who comunicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'heads']"
hero,s,1,gendered,function,"['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'they', 'people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']","['people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']","['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'they', 'people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']"
heroine,s,1,gendered,female_stereotype,"['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix']",[''],"['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix']"
instructor,s,1,gendered,titles,"['teacher', 'coach', 'educator', 'college teacher', 'university teacher', 'they', 'instruction', 'teaching staff', 'instructors', 'teachers', 'coachs', 'educators', 'college teachers', 'university teachers', 'person who teaches (a skill)', 'person who trains (...) to (...)', 'person whose job is to teach people (a skill)']","['instructors', 'teachers', 'coachs', 'educators', 'college teachers', 'university teachers', 'teaching staff', 'instruction']","['instruction', 'teacher', 'coach', 'educator', 'college teacher', 'university teacher', 'they', 'person who teaches (a skill)', 'person who trains (...) to (...)', 'person whose job is to teach people (a skill)', 'teaching staff', 'instructors', 'teachers', 'coachs', 'educators', 'college teachers', 'university teachers']"
intern,s,1,gendered,function,"['they', 'internship', 'interns']","['interns', 'internship']","['internship', 'they', 'interns']"
