Lemma,Word_Type,Category,Primary_subcategory,Alt_split
ding-head,s,openly_discriminating,offensive_language,['-']
dinghead,s,openly_discriminating,offensive_language,['-']
dipstick,s,openly_discriminating,offensive_language,['-']
dirtwad,s,openly_discriminating,offensive_language,['-']
doughnut-muncher,s,openly_discriminating,homophobia,['-']
doughnut-puncher,s,openly_discriminating,homophobia,['-']
donutmuncher,s,openly_discriminating,homophobia,['-']
donutpuncher,s,openly_discriminating,homophobia,['-']
doosh,s,openly_discriminating,offensive_language,['-']
douche,s,openly_discriminating,offensive_language,['-']
doucher,s,openly_discriminating,offensive_language,['-']
douchey,s,openly_discriminating,offensive_language,['-']
doush,s,openly_discriminating,offensive_language,['-']
durge,s,openly_discriminating,offensive_language,['-']
dyke,s,openly_discriminating,homophobia,['-']
euroscum,s,openly_discriminating,xenophobia,['-']
eurotrash,s,openly_discriminating,xenophobia,['-']
fag,s,openly_discriminating,homophobia,['-']
faggot,s,openly_discriminating,homophobia,['-']
fairy,s,openly_discriminating,homophobia,['-']
fecker,s,openly_discriminating,offensive_language,['-']
femboy,s,openly_discriminating,transphobia,['-']
feminazi,s,openly_discriminating,sexism,['-']
finocchio,s,openly_discriminating,homophobia,['-']
flamer,s,openly_discriminating,homophobia,['-']
flat-face,s,openly_discriminating,xenophobia,['-']
flat-head,s,openly_discriminating,xenophobia,['-']
flatface,s,openly_discriminating,xenophobia,['-']
flathead,s,openly_discriminating,xenophobia,['-']
flit,s,openly_discriminating,homophobia,['-']
floozie,s,openly_discriminating,sexism,['-']
focker,s,openly_discriminating,offensive_language,['-']
fog-breather,s,openly_discriminating,xenophobia,['-']
fogbreather,s,openly_discriminating,xenophobia,['-']
freak,s,openly_discriminating,ableism,['-']
fruit-packer,s,openly_discriminating,homophobia,['-']
fruitpacker,s,openly_discriminating,homophobia,['-']
fuck,s,openly_discriminating,offensive_language,['-']
fucker,s,openly_discriminating,offensive_language,['-']
fuckhead,s,openly_discriminating,offensive_language,['-']
fuckin,a,openly_discriminating,offensive_language,['-']
fucking,a,openly_discriminating,offensive_language,['-']
fucko,s,openly_discriminating,offensive_language,['-']
fucksqueek,s,openly_discriminating,offensive_language,['-']
fucktard,s,openly_discriminating,ableism,['-']
fudge-packer,s,openly_discriminating,homophobia,['-']
fudgepacker,s,openly_discriminating,homophobia,['-']
futhermucker,s,openly_discriminating,offensive_language,['-']
gaysian,s,openly_discriminating,homophobia,['-']
gobshite,s,openly_discriminating,offensive_language,['-']
goober,s,openly_discriminating,offensive_language,['-']
gooberhead,s,openly_discriminating,offensive_language,['-']
gook,s,openly_discriminating,racism,['-']
greaser,s,openly_discriminating,xenophobia,['-']
gronk,s,openly_discriminating,offensive_language,['-']
gym-bunny,s,openly_discriminating,homophobia,['-']
gymbunny,s,openly_discriminating,homophobia,['-']
hag,s,openly_discriminating,sexism,['-']
hairbag,s,openly_discriminating,offensive_language,['-']
hajji,s,openly_discriminating,antimuslim,['-']
half-breed,s,openly_discriminating,racism,['-']
half-caste,s,openly_discriminating,racism,['-']
halfbreed,s,openly_discriminating,racism,['-']
halfcaste,s,openly_discriminating,racism,['-']
haole,s,openly_discriminating,racism,['-']
harpy,s,openly_discriminating,sexism,['-']
heeb,s,openly_discriminating,antisemitism,['-']
hermie,s,openly_discriminating,transphobia,['-']
herp-derp,s,openly_discriminating,ableism,['-']
herpderp,s,openly_discriminating,ableism,['-']
himbo,s,openly_discriminating,sexist,['-']
homintern,s,openly_discriminating,homophobia,['-']
homo,s,openly_discriminating,homophobia,['-']
hooch-cooch,s,openly_discriminating,racism,['-']
hoochcooch,s,openly_discriminating,racism,['-']
hoser,s,openly_discriminating,offensive_language,['-']
hun,s,openly_discriminating,xenophobia,['-']
hunkie,s,openly_discriminating,xenophobia,['-']
hymie,s,openly_discriminating,antisemitism,['-']
inbred,s,openly_discriminating,racism,['-']
incognegro,s,openly_discriminating,racism,['-']
indian-giver,s,openly_discriminating,racism,['-']
indiangiver,s,openly_discriminating,racism,['-']
injun,s,openly_discriminating,racism,['-']
j-cat,s,openly_discriminating,offensive_language,['-']
jabroni,s,openly_discriminating,offensive_language,['-']
jabronie,s,openly_discriminating,offensive_language,['-']
jack,s,openly_discriminating,offensive_language,['-']
jack-shit,s,openly_discriminating,offensive_language,['-']
jackass,s,openly_discriminating,offensive_language,['-']
jackhole,s,openly_discriminating,offensive_language,['-']
jackshit,s,openly_discriminating,offensive_language,['-']
jackwagon,s,openly_discriminating,offensive_language,['-']
jag-off,s,openly_discriminating,offensive_language,['-']
jag-waggon,s,openly_discriminating,offensive_language,['-']
jagoff,s,openly_discriminating,offensive_language,['-']
jagwagon,s,openly_discriminating,offensive_language,['-']
jap,s,openly_discriminating,racism,['-']
japo,s,openly_discriminating,racism,['-']
jcat,s,openly_discriminating,offensive_language,['-']
jerk,s,openly_discriminating,offensive_language,['-']
jerk-ass,s,openly_discriminating,offensive_language,['-']
jerk-face,s,openly_discriminating,offensive_language,['-']
jerkass,s,openly_discriminating,offensive_language,['-']
jerkface,s,openly_discriminating,offensive_language,['-']
jerkwad,s,openly_discriminating,offensive_language,['-']
jewbie,s,openly_discriminating,antisemitism,['-']
jewgaboo,s,openly_discriminating,antisemitism,['-']
jork,s,openly_discriminating,offensive_language,['-']
kike,s,openly_discriminating,antisemitism,['-']
kitty-puncher,s,openly_discriminating,homophobia,['-']
kittypuncher,s,openly_discriminating,homophobia,['-']
knife-nose,s,openly_discriminating,antisemitism,['-']
knifenose,s,openly_discriminating,antisemitism,['-']
knob,s,openly_discriminating,offensive_language,['-']
knobhead,s,openly_discriminating,offensive_language,['-']
koranimal,s,openly_discriminating,antimuslim,['-']
kutta,s,openly_discriminating,offensive_language,['-']
lame-ass,s,openly_discriminating,offensive_language,['-']
lame-o,s,openly_discriminating,offensive_language,['-']
lameass,s,openly_discriminating,offensive_language,['-']
lameo,s,openly_discriminating,offensive_language,['-']
larry,s,openly_discriminating,offensive_language,['-']
leb,s,openly_discriminating,homophobia,['-']
lebo,s,openly_discriminating,xenophobia,['-']
les,s,openly_discriminating,homophobia,['-']
lesbo,s,openly_discriminating,homophobia,['-']
leso,s,openly_discriminating,homophobia,['-']
lezzie,s,openly_discriminating,homophobia,['-']
lezzy,s,openly_discriminating,homophobia,['-']
libtard,s,openly_discriminating,ableism,['-']
limp-wristed,=a,openly_discriminating,homophobia,['-']
limpwristed,=a,openly_discriminating,homophobia,['-']
llama,s,openly_discriminating,offensive_language,['-']
louse,s,openly_discriminating,offensive_language,['-']
mofo,s,openly_discriminating,offensive_language,['-']
mole,s,openly_discriminating,offensive_language,['-']
moll,s,openly_discriminating,offensive_language,['-']
mothafucka,s,openly_discriminating,offensive_language,['-']
muzzie,s,openly_discriminating,antimuslim,['-']
nigger,s,openly_discriminating,racism,['-']
nip,s,openly_discriminating,xenophobia,['-']
