Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Mauschelei,s,unconscious_bias,antisemitism,"['Täuschung', 'Übervorteilung', 'Schwindel', 'interne Absprache', 'Nepotismus', 'Täuschungen', 'Übervorteilungen', 'Schwindeleien', 'interne Absprachen', 'Begünstigungen']","['Täuschungen', 'Übervorteilungen', 'Schwindeleien', 'interne Absprachen', 'Begünstigungen']","['Täuschung', 'Übervorteilung', 'Schwindel', 'interne Absprache', 'Nepotismus', 'Täuschungen', 'Übervorteilungen', 'Schwindeleien', 'interne Absprachen', 'Begünstigungen']"
Mindestalter,s,unconscious_bias,age_young,"['Altersbeschränkung', '--- nur erwähnen, wenn relevant', 'alt genug, um (...)', 'Altersfreigabe ab(...)']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Altersbeschränkung', 'alt genug, um (...)', 'Altersfreigabe ab(...)']"
Mitkonkurrent,s,unconscious_bias,agentic,"['Konkurrenz', 'Wettbewerb', 'Mitkonkurrent~in~/~Mitkonkurrent', 'Mitbewerber~in~/~Mitbewerber', 'Wettbewerbsteilnehmende', 'Marktteilnehmende']","['Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Mitkonkurrent~innen~ und ~Mitkonkurrenten', 'Konkurrenz', 'Wettbewerb']","['Konkurrenz', 'Wettbewerb', 'Mitkonkurrent~in~/~Mitkonkurrent', 'Mitbewerber~in~/~Mitbewerber', 'Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Mitkonkurrent~innen~ und ~Mitkonkurrenten']"
Moslem,s,unconscious_bias,belief,['Muslim~in~/~Muslim'],['Muslim~innen~ und ~Muslime'],"['Muslim~in~/~Muslim', 'Muslim~innen~ und ~Muslime']"
Muttersprachler,s,unconscious_bias,migration,"['Muttersprachler~in~/~Muttersprachler', 'jemand dessen erste Sprache (...) ist', 'Mensch, dessen Familiensprache (...) ist']","['Muttersprachler~innen~ und ~Muttersprachler', 'Personen, deren erste Sprache (...) ist', 'Menschen, deren Familiensprache (...) ist']","['Muttersprachler~in~/~Muttersprachler', 'jemand dessen erste Sprache (...) ist', 'Mensch, dessen Familiensprache (...) ist', 'Muttersprachler~innen~ und ~Muttersprachler', 'Personen, deren erste Sprache (...) ist', 'Menschen, deren Familiensprache (...) ist']"
Muttersprachlerin,s,unconscious_bias,migration,"['Muttersprachler~in~/~Muttersprachler', 'jemand dessen erste Sprache (...) ist', 'Mensch, dessen Familiensprache (...) ist']","['Muttersprachler~innen', 'Personen, deren erste Sprache (...) ist', 'Menschen, deren Familiensprache (...) ist']","['Muttersprachler~in~/~Muttersprachler', 'jemand dessen erste Sprache (...) ist', 'Mensch, dessen Familiensprache (...) ist', 'Muttersprachler~innen', 'Personen, deren erste Sprache (...) ist', 'Menschen, deren Familiensprache (...) ist']"
Negerkuss,s,unconscious_bias,racist_source,"['Schokokuss', 'Schokoladenkuss', 'Schaumkuss', 'Naschkuss', 'Schokoküsse', 'Schokoladenküsse', 'Schaumküsse', 'Naschküsse']","['Schokoküsse', 'Schokoladenküsse', 'Schaumküsse', 'Naschküsse']","['Schokokuss', 'Schokoladenkuss', 'Schaumkuss', 'Naschkuss', 'Schokoküsse', 'Schokoladenküsse', 'Schaumküsse', 'Naschküsse']"
Normale,s,unconscious_bias,ability,"['--- nicht für Person verwenden', 'Hörende~r', 'Sehende~r', 'Hörende', 'Sehende', 'Mensch ohne Behinderungen(...)', 'neurotypischer Mensch(...)']","['Hörende', 'Sehende', '--- nicht für Person verwenden', 'Menschen ohne Behinderungen(...)', 'neurotypische Menschen(...)']","['--- nicht für Person verwenden', 'Hörende~r', 'Sehende~r', 'Mensch ohne Behinderungen(...)', 'neurotypischer Mensch(...)', 'Hörende', 'Sehende', 'Menschen ohne Behinderungen(...)', 'neurotypische Menschen(...)']"
Normaler,s,unconscious_bias,ability,"['--- nicht für Person verwenden', 'Hörende~r', 'Sehende~r', 'Hörende', 'Sehende', 'Mensch ohne Behinderungen(...)', 'neurotypischer Mensch(...)']","['Hörende', 'Sehende', '--- nicht für Person verwenden', 'Menschen ohne Behinderungen(...)', 'neurotypische Menschen(...)']","['--- nicht für Person verwenden', 'Hörende~r', 'Sehende~r', 'Mensch ohne Behinderungen(...)', 'neurotypischer Mensch(...)', 'Hörende', 'Sehende', 'Menschen ohne Behinderungen(...)', 'neurotypische Menschen(...)']"
Opfer,s,unconscious_bias,ability,['--- nicht für Mensch mit Behinderungen'],['--- nicht für Mensch mit Behinderungen'],['--- nicht für Mensch mit Behinderungen']
Powerfrau,s,unconscious_bias,agentic,"['Energiebündel', 'Tatmensch', 'Multitalent', 'Lebenskünstler~in~/~Lebenskünstler', 'Allrounder~in~/~Allrounder', 'vielseitig begabter Mensch(...)', 'Vorbild(...)', 'Person, die inspiriert(...)', 'jemand mit Freude an Verantwortung(...)', 'Person, die mit Rat und Tat zur Seite steht(...)']","['Lebenskünstler~innen~ und ~Lebenskünstler', 'Allrounder~innen~ und ~Allrounder']","['Energiebündel', 'Tatmensch', 'Multitalent', 'Lebenskünstler~in~/~Lebenskünstler', 'Allrounder~in~/~Allrounder', 'vielseitig begabter Mensch(...)', 'Vorbild(...)', 'Person, die inspiriert(...)', 'jemand mit Freude an Verantwortung(...)', 'Person, die mit Rat und Tat zur Seite steht(...)', 'Lebenskünstler~innen~ und ~Lebenskünstler', 'Allrounder~innen~ und ~Allrounder']"
