Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
offensiv,a,,unconscious_bias,agentic,rough,"['unverzagt', 'zuversichtlich', 'optimistisch', 'einsatzbereit', 'unverdrossen', 'tatkräftig', 'beherzt', 'argumentationsfreudig', 'fähig, Reibungen zu bewältigen', 'bereit, sich für (...) einzusetzen', 'bereit, (eine Meinung, Idee, Arbeit) zu vertreten', 'die Initiative ergreifend']",[''],"['unverzagt', 'zuversichtlich', 'optimistisch', 'einsatzbereit', 'unverdrossen', 'tatkräftig', 'beherzt', 'argumentationsfreudig', 'fähig, Reibungen zu bewältigen', 'bereit, sich für (...) einzusetzen', 'bereit, (eine Meinung, Idee, Arbeit) zu vertreten', 'die Initiative ergreifend']"
paranoid,a,,unconscious_bias,agentic,hard-hearted,"['vorsichtig', 'wachsam', 'aufmerksam', 'umsichtig', 'achtsam', 'sorgfältig beobachtend']",[''],"['vorsichtig', 'wachsam', 'aufmerksam', 'umsichtig', 'achtsam', 'sorgfältig beobachtend']"
performant,a,,unconscious_bias,agentic,competitive,"['engagiert', 'tatkräftig', 'Feuer und Flamme', 'mit Energie bei der Sache sein', 'Meilensteine erreichen wollend', 'enthusiastisch bei der Umsetzung']",[''],"['engagiert', 'tatkräftig', 'Feuer und Flamme', 'mit Energie bei der Sache sein', 'Meilensteine erreichen wollend', 'enthusiastisch bei der Umsetzung']"
prahlen,v,,unconscious_bias,agentic,hard-hearted,"['bereit, die eigene Meinung (Idee, Arbeit, ...) zu vertreten', 'Freude über gemeinsam erreichte Meilensteine zeigen']",[''],"['bereit, die eigene Meinung (Idee, Arbeit, ...) zu vertreten', 'Freude über gemeinsam erreichte Meilensteine zeigen']"
pro aktiv,a,,unconscious_bias,agentic,rough,"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']",[''],"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']"
pro-aktiv,a,,unconscious_bias,agentic,rough,"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']",[''],"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']"
proaktiv,a,,unconscious_bias,agentic,rough,"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']",[''],"['energiegeladen', 'unternehmerisch', 'bereit, die Initiative zu ergreifen']"
problematisch,a,,unconscious_bias,agentic,competitive,"['komplex', 'umstritten', 'schwierig', 'ungeklärt', 'mehrdeutig', 'rätselhaft', 'undurchsichtig', 'verwickelt', 'fraglich', 'strittig', 'offen', 'hypothetisch', 'ungesichert']",[''],"['komplex', 'umstritten', 'schwierig', 'ungeklärt', 'mehrdeutig', 'rätselhaft', 'undurchsichtig', 'verwickelt', 'fraglich', 'strittig', 'offen', 'hypothetisch', 'ungesichert']"
resolut,a,,unconscious_bias,agentic,hard-hearted,"['tatkräftig', 'unbeirrt', 'zupackend']",[''],"['tatkräftig', 'unbeirrt', 'zupackend']"
resultat orientiert,a,,unconscious_bias,agentic,competitive,"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']",[''],"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']"
resultat-orientiert,a,,unconscious_bias,agentic,competitive,"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']",[''],"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']"
resultatorientiert,a,,unconscious_bias,agentic,competitive,"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']",[''],"['umsetzungsfreudig', 'motiviert, mit dem Team gemeinsame Ziele zu verwirklichen', 'auf Meilensteine fokussiert']"
risikofreudig,a,,unconscious_bias,agentic,rough,"['experimentierfreudig', 'optimistisch', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend']",[''],"['experimentierfreudig', 'optimistisch', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend']"
robust,a,,unconscious_bias,agentic,rough,"['stabil', 'fachkundig', 'resilient', 'gelassen', 'zuverlässig', 'nicht durch Kleinigkeiten abgelenkt']",[''],"['stabil', 'fachkundig', 'resilient', 'gelassen', 'zuverlässig', 'nicht durch Kleinigkeiten abgelenkt']"
rücksichtslos,a,,unconscious_bias,agentic,hard-hearted,"['auf die eigenen Aufgaben fokussiert', 'fähig, Reibung zu bewältigen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend']",[''],"['auf die eigenen Aufgaben fokussiert', 'fähig, Reibung zu bewältigen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend']"
schlagkräftig,a,,unconscious_bias,agentic,rough,"['nachvollziehbar', 'einnehmend', 'fähig, gut zu argumentieren', 'Stakeholder mitreißend']",[''],"['nachvollziehbar', 'einnehmend', 'fähig, gut zu argumentieren', 'Stakeholder mitreißend']"
selbstbewusst,a,,unconscious_bias,agentic,competitive,"['gelassen', 'entspannt', 'in die eigene Kompetenz vertrauend', 'bereit, seine Arbeit zu vertreten']",[''],"['gelassen', 'entspannt', 'in die eigene Kompetenz vertrauend', 'bereit, seine Arbeit zu vertreten']"
selbstsicher,a,,unconscious_bias,agentic,competitive,"['gelassen', 'entspannt', 'in die eigene Kompetenz vertrauend', 'bereit, seine Arbeit zu vertreten']",[''],"['gelassen', 'entspannt', 'in die eigene Kompetenz vertrauend', 'bereit, seine Arbeit zu vertreten']"
selbstständig,a,,unconscious_bias,agentic,competitive,"['verantwortungsfreudig', 'eigenverantwortlich', 'selbstverantwortlich', 'interessiert, die eigenen Kompetenzen einzusetzen', 'bereit, Verantwortung für ihre Arbeit zu übernehmen', 'ergreift gern die Initiative']",[''],"['verantwortungsfreudig', 'eigenverantwortlich', 'selbstverantwortlich', 'interessiert, die eigenen Kompetenzen einzusetzen', 'bereit, Verantwortung für ihre Arbeit zu übernehmen', 'ergreift gern die Initiative']"
selbständig,a,,unconscious_bias,agentic,competitive,"['verantwortungsfreudig', 'eigenverantwortlich', 'selbstverantwortlich', 'interessiert, die eigenen Kompetenzen einzusetzen', 'bereit, Verantwortung für ihre Arbeit zu übernehmen', 'ergreift gern die Initiative']",[''],"['verantwortungsfreudig', 'eigenverantwortlich', 'selbstverantwortlich', 'interessiert, die eigenen Kompetenzen einzusetzen', 'bereit, Verantwortung für ihre Arbeit zu übernehmen', 'ergreift gern die Initiative']"
sich sicher sein,v,,unconscious_bias,agentic,competitive,"['gewissenhaft geprüft haben', 'sorgfältig abgewogen haben', 'in eigene Kompetenz vertrauen', 'bereit sein, die eigene Meinung/Arbeit vertreten']",[''],"['gewissenhaft geprüft haben', 'sorgfältig abgewogen haben', 'in eigene Kompetenz vertrauen', 'bereit sein, die eigene Meinung/Arbeit vertreten']"
sich wehren,v,,unconscious_bias,agentic,hard-hearted,"['das eigene Vorgehen erläutern', 'den eigenen Standpunkt kommunizieren', 'seine Sicht vertreten']",[''],"['das eigene Vorgehen erläutern', 'den eigenen Standpunkt kommunizieren', 'seine Sicht vertreten']"
sicherstellen,v,,unconscious_bias,agentic,rough,"['bewirken', 'ermöglichen', 'sorgfältig umsetzen', 'gewissenhaft erfüllen', 'einhalten', 'gewährleisten', 'sich um (...) kümmern']",[''],"['bewirken', 'ermöglichen', 'sorgfältig umsetzen', 'gewissenhaft erfüllen', 'einhalten', 'gewährleisten', 'sich um (...) kümmern']"
siegessicher,a,,unconscious_bias,agentic,competitive,"['unbeirrt', 'enthusiastisch', 'fokussiert', 'optimistisch']",[''],"['unbeirrt', 'enthusiastisch', 'fokussiert', 'optimistisch']"
sportlerisch,a,,unconscious_bias,agentic,competitive,"['fair', 'einsatzbereit', 'pragmatisch', 'unkompliziert', 'beweglich', 'mit aller Fairness', 'gemeinsame Regeln respektierend', 'durch die Arbeit anderer motiviert']",[''],"['fair', 'einsatzbereit', 'pragmatisch', 'unkompliziert', 'beweglich', 'mit aller Fairness', 'gemeinsame Regeln respektierend', 'durch die Arbeit anderer motiviert']"
sportlich,a,,unconscious_bias,agentic,competitive,"['fair', 'einsatzbereit', 'pragmatisch', 'unkompliziert', 'beweglich', 'mit aller Fairness', 'gemeinsame Regeln respektierend', 'durch die Arbeit anderer motiviert']",[''],"['fair', 'einsatzbereit', 'pragmatisch', 'unkompliziert', 'beweglich', 'mit aller Fairness', 'gemeinsame Regeln respektierend', 'durch die Arbeit anderer motiviert']"
stark,a,,unconscious_bias,agentic,rough,"['stabil', 'resilient', 'zuverlässig', 'fachkundig', 'fachkundig und erfahren', 'ausgeglichen']",[''],"['stabil', 'resilient', 'zuverlässig', 'fachkundig', 'fachkundig und erfahren', 'ausgeglichen']"
streiten,a,,unconscious_bias,agentic,hard-hearted,"['diskutieren', 'sich austauschen', 'argumentieren', 'Für und Wider erwägen', 'Reibungen bewältigen', 'sich offen (für ...) einsetzen', '(...) vertreten', 'sich mit Energie (für ...) einbringen']",[''],"['diskutieren', 'sich austauschen', 'argumentieren', 'Für und Wider erwägen', 'Reibungen bewältigen', 'sich offen (für ...) einsetzen', '(...) vertreten', 'sich mit Energie (für ...) einbringen']"
