Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
wetteifern,v,,unconscious_bias,agentic,competitive,"['Kompetenz einsetzen, um weiterzukommen', 'motiviert zusammenarbeiten', 'auf Meilensteine hinarbeiten', 'Ziele gemeinsam anpacken']",[''],"['Kompetenz einsetzen, um weiterzukommen', 'motiviert zusammenarbeiten', 'auf Meilensteine hinarbeiten', 'Ziele gemeinsam anpacken']"
zielorientiert,a,,unconscious_bias,agentic,competitive,"['umsetzungsfreudig', 'strebsam', 'fleißig', 'engagiert und fokussiert', 'auf Meilensteine fokussiert', 'motiviert auf Meilensteine hinarbeiten wollen']",[''],"['umsetzungsfreudig', 'strebsam', 'fleißig', 'engagiert und fokussiert', 'auf Meilensteine fokussiert', 'motiviert auf Meilensteine hinarbeiten wollen']"
zielstrebig,a,,unconscious_bias,agentic,competitive,"['umsetzungsfreudig', 'strebsam', 'fleißig', 'engagiert und fokussiert', 'auf Meilensteine fokussiert', 'motiviert auf Meilensteine hinarbeiten wollen']",[''],"['umsetzungsfreudig', 'strebsam', 'fleißig', 'engagiert und fokussiert', 'auf Meilensteine fokussiert', 'motiviert auf Meilensteine hinarbeiten wollen']"
zwingend,a,,unconscious_bias,agentic,rough,"['nützlich', 'hilfreich', 'förderlich', 'wichtig, um (...)']",[''],"['nützlich', 'hilfreich', 'förderlich', 'wichtig, um (...)']"
zwingendermaßen,a,,unconscious_bias,agentic,rough,"['nützlich', 'hilfreich', 'wichtig, um (...)']",[''],"['nützlich', 'hilfreich', 'wichtig, um (...)']"
zäh,a,,unconscious_bias,agentic,hard-hearted,"['resilient', 'geduldig', 'einen langen Atem haben']",[''],"['resilient', 'geduldig', 'einen langen Atem haben']"
Überzeugung,s,,unconscious_bias,agentic,competitive,"['Meinung', 'Haltung', 'Blickwinkel', 'Perspektive', 'Ansicht', 'Auffassung', 'Erkenntnis', 'Schluss', 'Verständnis', 'Dafürhalten', 'Position', 'Standpunkt', 'Sichtweise', 'Theorie', 'Anschauung']",[''],"['Meinung', 'Haltung', 'Blickwinkel', 'Perspektive', 'Ansicht', 'Auffassung', 'Erkenntnis', 'Schluss', 'Verständnis', 'Dafürhalten', 'Position', 'Standpunkt', 'Sichtweise', 'Theorie', 'Anschauung']"
überlegen,a,,unconscious_bias,agentic,competitive,"['angesehen', 'fortschrittlich', 'kompetent', 'einflussreich', 'tonangebend', 'das Vertrauen der Kundschaft besitzend', '(den Markt) beeinflussend', 'den Maßstab setzend']",[''],"['angesehen', 'fortschrittlich', 'kompetent', 'einflussreich', 'tonangebend', 'das Vertrauen der Kundschaft besitzend', '(den Markt) beeinflussend', 'den Maßstab setzend']"
überzeugen,v,,unconscious_bias,agentic,competitive,"['inspirieren', 'mit Kompetenz vertreten', 'Meinung/Arbeit vertreten', 'Stakeholder mitreißen', 'nachvollziehbar darlegen', 'Botschaften effektiv kommunizieren', 'andere für Ideen begeistern', 'geschickt verhandeln', 'durch Kompetenz Vertrauen schaffen', 'seine Meinung/Arbeit vertreten', 'nachvollziehbar argumentieren']",[''],"['inspirieren', 'mit Kompetenz vertreten', 'Meinung/Arbeit vertreten', 'Stakeholder mitreißen', 'nachvollziehbar darlegen', 'Botschaften effektiv kommunizieren', 'andere für Ideen begeistern', 'geschickt verhandeln', 'durch Kompetenz Vertrauen schaffen', 'seine Meinung/Arbeit vertreten', 'nachvollziehbar argumentieren']"
überzeugend,a,,unconscious_bias,agentic,competitive,"['interessant', 'effektiv', 'befriedigend', 'glaubwürdig', 'Botschaften effektiv kommunizierend', 'andere für Ideen begeisternd', 'inspirierend', 'jemand, auf dessen Meinung Menschen vertrauen', 'Mensch, der gut verhandeln kann']",[''],"['interessant', 'effektiv', 'befriedigend', 'glaubwürdig', 'Botschaften effektiv kommunizierend', 'andere für Ideen begeisternd', 'inspirierend', 'jemand, auf dessen Meinung Menschen vertrauen', 'Mensch, der gut verhandeln kann']"
überzeugt,a,,unconscious_bias,agentic,competitive,"['in die eigene Kompetenz/Erfahrung vertrauend', 'die eigene Meinung/Arbeit vertretend']",[''],"['in die eigene Kompetenz/Erfahrung vertrauend', 'die eigene Meinung/Arbeit vertretend']"
