Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Vergolder,s,,gendered,titles,"['Vergoldung', 'Vergolder~in~/~Vergolder']",['Vergoldung'],"['Vergoldung', 'Vergolder~in~/~Vergolder']"
Verkehrsplaner,s,,gendered,titles,"['Verkehrsplanung', 'Verkehrsplaner~in~/~Verkehrsplaner']",['Verkehrsplanung'],"['Verkehrsplanung', 'Verkehrsplaner~in~/~Verkehrsplaner']"
Vermittler,s,,gendered,function,"['Mittelsperson', 'Vermittlung', 'Vermittler~in~/~Vermittler', 'Vermittelnde', 'Person, die helfend vermittelt', 'Person, die vermittelnd (zwischen Personen, Parteien) auftritt']","['Vermittelnde', 'Vermittler~innen~ und ~Vermittler', 'Vermittlung', 'Personen, die helfend vermitteln', 'Personen, die vermittelnd (zwischen Personen, Parteien) auftreten']","['Vermittlung', 'Mittelsperson', 'Vermittler~in~/~Vermittler', 'Person, die helfend vermittelt', 'Person, die vermittelnd (zwischen Personen, Parteien) auftritt', 'Vermittelnde', 'Vermittler~innen~ und ~Vermittler', 'Personen, die helfend vermitteln', 'Personen, die vermittelnd (zwischen Personen, Parteien) auftreten']"
Vertreter,s,,gendered,function,"['Vertretung', 'Vertreter~in~/~Vertreter', 'Vertretende', 'Person, die die Vertretung übernimmt', 'Person in der Vertretungsrolle']","['Vertretende', 'Vertreter~innen~ und ~Vertreter', 'Vertretung', 'Personen, die die Vertretung übernehmen', 'Personen in der Vertretungsrolle']","['Vertretung', 'Vertreter~in~/~Vertreter', 'Person, die die Vertretung übernimmt', 'Person in der Vertretungsrolle', 'Vertretende', 'Vertreter~innen~ und ~Vertreter', 'Personen, die die Vertretung übernehmen', 'Personen in der Vertretungsrolle']"
Vorkämpfer,s,,gendered,function,"['Inspiration', 'Leitbild', 'Wegbereitung', 'Vorkämpfer~in~/~Vorkämpfer', 'Wegbereiter~in~/~Wegbereiter', 'Inspiration', 'Leitbild', 'Mensch, der eine gemeinsame Vision verkörpert', 'jemand, der sich für Ideen engagiert', 'jemand, der sich für eine Vision begeistert']","['Inspiration', 'Leitbild', 'Vorkämpfer~innen~ und ~Vorkämpfer', 'Wegbereiter~innen~ und ~Wegbereiter', 'Wegbereitung', 'Menschen, die eine gemeinsame Vision verkörpern', 'Leute, die sich für Ideen engagieren', 'alle, die sich für eine Vision begeistern']","['Wegbereitung', 'Inspiration', 'Leitbild', 'Vorkämpfer~in~/~Vorkämpfer', 'Wegbereiter~in~/~Wegbereiter', 'Mensch, der eine gemeinsame Vision verkörpert', 'jemand, der sich für Ideen engagiert', 'jemand, der sich für eine Vision begeistert', 'Inspiration', 'Leitbild', 'Vorkämpfer~innen~ und ~Vorkämpfer', 'Wegbereiter~innen~ und ~Wegbereiter', 'Menschen, die eine gemeinsame Vision verkörpern', 'Leute, die sich für Ideen engagieren', 'alle, die sich für eine Vision begeistern']"
Wagner,s,,gendered,titles,"['Wagnerei', 'Stellmacherei', 'Wagner~in~/~Wagner']","['Wagnerei', 'Stellmacherei']","['Wagnerei', 'Stellmacherei', 'Wagner~in~/~Wagner']"
Werker,s,,gendered,function,"['Fachpraxis', 'Werker~in~/~Werker', 'Fachpraktiker~in~/~Fachpraktiker']",['Fachpraxis'],"['Fachpraxis', 'Werker~in~/~Werker', 'Fachpraktiker~in~/~Fachpraktiker']"
Wettbewerber,s,,gendered,function,"['Mitbewerber~in', 'Markt', 'Wettbewerb', 'Marktteilnehmende', 'Person/Firma, die auf dem selben Gebiet/Markt ihre Kompetenz einsetzt', 'am Markt teilnehmende Person/Firma', 'Person/Firma, die sich auf demselben Gebiet/im selben Segment engagiert', 'jemand, der auf dieselben Meilensteine/Ziele hinarbeitet', 'Firma/Person, die sich gleichzeitig für dieselbe Stelle/Rolle engagiert']","['Marktteilnehmende', 'Markt', 'Wettbewerb']","['Markt', 'Wettbewerb', 'Mitbewerber~in', 'Person/Firma, die auf dem selben Gebiet/Markt ihre Kompetenz einsetzt', 'am Markt teilnehmende Person/Firma', 'Person/Firma, die sich auf demselben Gebiet/im selben Segment engagiert', 'jemand, der auf dieselben Meilensteine/Ziele hinarbeitet', 'Firma/Person, die sich gleichzeitig für dieselbe Stelle/Rolle engagiert', 'Marktteilnehmende']"
Wettbewerber~in,s,,gendered,function,"['Mitbewerber~in', 'Markt', 'Wettbewerb', 'Marktteilnehmende', 'Person/Firma, die auf dem selben Gebiet/Markt ihre Kompetenz einsetzt', 'Person/Firma, die sich auf dem selben Gebiet/Markt engagiert', 'jemand, der auf dieselben Meilensteine/Ziele hinarbeitet', 'Firma/Person, die sich gleichzeitig für dieselbe Stelle/Rolle engagiert']","['Marktteilnehmende', 'Markt', 'Wettbewerb']","['Markt', 'Wettbewerb', 'Mitbewerber~in', 'Person/Firma, die auf dem selben Gebiet/Markt ihre Kompetenz einsetzt', 'Person/Firma, die sich auf dem selben Gebiet/Markt engagiert', 'jemand, der auf dieselben Meilensteine/Ziele hinarbeitet', 'Firma/Person, die sich gleichzeitig für dieselbe Stelle/Rolle engagiert', 'Marktteilnehmende']"
Wettkämpfer,s,,gendered,function,"['Wettkampf', 'Wettkämpfer~in~/~Wettkämpfer', 'Mensch, der sein Team gern auf dem gemeinsamen Weg mitnimmt', 'jemand, der ein faires Miteinander schätzt', 'jemand, der Ziele zusammen mit dem Team erreichen will']","['Wettkämpfer~innen~ und ~Wettkämpfer', 'Wettkampf', 'Menschen, die ihr Team gern auf dem gemeinsamen Weg mitnehmen', 'alle, die ein faires Miteinander schätzen', 'Leute, die Ziele zusammen mit dem Team umsetzen wollen']","['Wettkampf', 'Wettkämpfer~in~/~Wettkämpfer', 'Mensch, der sein Team gern auf dem gemeinsamen Weg mitnimmt', 'jemand, der ein faires Miteinander schätzt', 'jemand, der Ziele zusammen mit dem Team erreichen will', 'Wettkämpfer~innen~ und ~Wettkämpfer', 'Menschen, die ihr Team gern auf dem gemeinsamen Weg mitnehmen', 'alle, die ein faires Miteinander schätzen', 'Leute, die Ziele zusammen mit dem Team umsetzen wollen']"
Winzer,s,,gendered,titles,"['Winzerei', 'Winzereibetrieb', 'Winzer~in~/~Winzer']","['Winzerei', 'Winzereibetrieb']","['Winzerei', 'Winzereibetrieb', 'Winzer~in~/~Winzer']"
Zimmermann,s,,gendered,titles,"['Zimmereifachkraft', 'Zimmerei', 'Zimmerfrau~Zimmermann']",['Zimmerei'],"['Zimmerei', 'Zimmereifachkraft', 'Zimmerfrau~Zimmermann']"
Zugbegleiter,s,,gendered,titles,"['Zugbegleitung', 'Zugbegleiter~in~/~Zugbegleiter']",['Zugbegleitung'],"['Zugbegleitung', 'Zugbegleiter~in~/~Zugbegleiter']"
Zuhörer,s,,gendered,function,"['Zuhörer~in~/~Zuhörer', 'Publikum', 'Publikumsscharen', 'Zuhörende', 'zuhörende Person', 'Person im Publikum']","['Zuhörende', 'Zuhörer~innen~ und ~Zuhörer', 'Publikum', 'Publikumsscharen', 'Personen, die zuhören', 'Menschen im Publikum']","['Zuhörer~in~/~Zuhörer', 'zuhörende Person', 'Person im Publikum', 'Publikum', 'Publikumsscharen', 'Zuhörende', 'Zuhörer~innen~ und ~Zuhörer', 'Personen, die zuhören', 'Menschen im Publikum']"
Zulieferer,s,,gendered,function,"['Zulieferung', 'Zulieferfirma', 'zulieferndes Unternehmen', 'Zulieferunternehmen', 'Zuliefer~in~/~Zulieferer', 'Zuliefernde']",['Zuliefernde'],"['Zulieferung', 'Zulieferfirma', 'zulieferndes Unternehmen', 'Zulieferunternehmen', 'Zuliefer~in~/~Zulieferer', 'Zuliefernde']"
Überflieger,s,,gendered,function,"['kompetenter Mensch', 'fähiger Mensch', 'tatkräftige Person', 'Tatmensch', 'Überflieger~in~/~Überflieger', 'kompetenter Mensch', 'fähiger Mensch', 'tatkräftige Person', 'Tatmensch', 'jemand, der durch Kompetenz überrascht', 'jemand, der Meilensteine leicht und kreativ umsetzt']","['kompetenter Mensch', 'fähiger Mensch', 'tatkräftige Person', 'Tatmensch', 'Überflieger~innen~ und ~Überflieger', 'jemand, der durch Kompetenz überrascht', 'jemand, der Meilensteine leicht und kreativ umsetzt']","['kompetenter Mensch', 'fähiger Mensch', 'tatkräftige Person', 'Tatmensch', 'Überflieger~in~/~Überflieger', 'jemand, der durch Kompetenz überrascht', 'jemand, der Meilensteine leicht und kreativ umsetzt', 'kompetenter Mensch', 'fähiger Mensch', 'tatkräftige Person', 'Tatmensch', 'Überflieger~innen~ und ~Überflieger', 'jemand, der durch Kompetenz überrascht', 'jemand, der Meilensteine leicht und kreativ umsetzt']"
