Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Alphamännchen,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alphaperson,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alphapersönlichkeit,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alphatier,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alphatyp,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alphaweibchen,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Analyst,s,,gendered,titles,"['Börsenfachkraft', 'Analyse', 'Börsenbeobachtung', 'Analyst~in~/~Analyst', 'Börsenfachkräfte', 'Analysierende', 'Börsenbeobachtende', 'bass']","['Börsenfachkräfte', 'Analysierende', 'Börsenbeobachtende', 'Analyst~innen~ und ~Analysten', 'Analyse', 'Börsenbeobachtung', 'Personen, die (...) prüfen/interpretieren', 'börsenbeobachtende Personen']","['Analyse', 'Börsenbeobachtung', 'Börsenfachkraft', 'Analyst~in~/~Analyst', 'bass', 'Börsenfachkräfte', 'Analysierende', 'Börsenbeobachtende', 'Analyst~innen~ und ~Analysten', 'Personen, die (...) prüfen/interpretieren', 'börsenbeobachtende Personen']"
Angestellter,s,,gendered,titles,"['Angestellt~e~/~Angestellter', 'Personal', 'Belegschaft', 'Angestellte', 'Mitarbeitende']","['Angestellte', 'Mitarbeitende', 'Personal', 'Belegschaft']","['Angestellt~e~/~Angestellter', 'Personal', 'Belegschaft', 'Angestellte', 'Mitarbeitende']"
Antragssteller,s,,gendered,titles,"['Antragstellung', 'Antragsteller~in~/~Antragsteller', 'Antragsstellende', 'Beantragende', '(gestellte) Anträge', 'Person, die einen Antrag stellt', 'beantragende Person']","['Antragsstellende', 'Beantragende', '(gestellte) Anträge', 'Antragssteller~innen~ und ~Antragssteller', 'Antragstellung', 'Personen, die (...) beantragen', 'antragstellende Personen']","['Antragstellung', 'Antragsteller~in~/~Antragsteller', 'Person, die einen Antrag stellt', 'beantragende Person', 'Antragsstellende', 'Beantragende', '(gestellte) Anträge', 'Antragssteller~innen~ und ~Antragssteller', 'Personen, die (...) beantragen', 'antragstellende Personen']"
Apparateglasbläser,s,,gendered,titles,"['Apparateglasbau', 'Apparateglasbläser~in~/~Apparateglasbläser']","['Apparateglasbläser~innen~ und ~Apparateglasbläser', 'Apparateglasbau']","['Apparateglasbau', 'Apparateglasbläser~in~/~Apparateglasbläser', 'Apparateglasbläser~innen~ und ~Apparateglasbläser']"
Arbeitgeber,s,,gendered,titles,"['Arbeitgeberin (wenn GmbH, Einzelfirma oder AG)', 'Arbeitgeber~in~/~Arbeitgeber', 'Arbeitgebende', 'arbeitgebende Firma', 'beschäftigendes Unternehmen', 'Person/Firma/Einrichtung, die Arbeitsplätze zur Verfügung stellt', 'Person/Firma/Einrichtung, für die Menschen arbeiten']","['Arbeitgebende', 'Arbeitgeber~innen~ und ~Arbeitgeber', 'Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebende Unternehmen', 'Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen']","['Arbeitgeberin (wenn GmbH, Einzelfirma oder AG)', 'Arbeitgeber~in~/~Arbeitgeber', 'arbeitgebende Firma', 'beschäftigendes Unternehmen', 'Person/Firma/Einrichtung, die Arbeitsplätze zur Verfügung stellt', 'Person/Firma/Einrichtung, für die Menschen arbeiten', 'Arbeitgebende', 'Arbeitgeber~innen~ und ~Arbeitgeber', 'Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebende Unternehmen', 'Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen']"
Arbeitskollege,s,,gendered,titles,"['Teammitglied', 'Arbeitskolleg~in~/~Arbeitskollege', 'Team', 'Personal', 'Belegschaft', 'Teammitglieder', 'Person, die im selben Unternehmen/Team arbeitet', 'Person, die man von der Arbeit kennt']","['Teammitglieder', 'Arbeitskolleg~innen~ und ~Arbeitskollegen', 'Team', 'Personal', 'Belegschaft', 'Personen im selben Team', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt']","['Teammitglied', 'Arbeitskolleg~in~/~Arbeitskollege', 'Person, die im selben Unternehmen/Team arbeitet', 'Person, die man von der Arbeit kennt', 'Team', 'Personal', 'Belegschaft', 'Teammitglieder', 'Arbeitskolleg~innen~ und ~Arbeitskollegen', 'Personen im selben Team', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt']"
Architect,s,,gendered,titles,"['Baufachperson', 'Architektur', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen']","['Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten', 'Architektenteam', 'Architektur']","['Architektur', 'Baufachperson', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten']"
Architekt,s,,gendered,titles,"['Baufachperson', 'Architektur', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen']","['Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten', 'Architektenteam', 'Architektur']","['Architektur', 'Baufachperson', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten']"
Assistent,s,,gendered,titles,"['Assistenz', 'Assistent~in~/~Assistent', 'Assistierende']","['Assistierende', 'Assistent~innen~ und ~Assistenten', 'Assistenz', 'Personen, die assistieren/helfen']","['Assistenz', 'Assistent~in~/~Assistent', 'Assistierende', 'Assistent~innen~ und ~Assistenten', 'Personen, die assistieren/helfen']"
Athlet,s,,gendered,function,"['Energiebündel', 'Tatmensch', 'Athlet~in~/~Athlet', 'Person, die sich Ziele setzt und sie umsetzt', 'disziplinierter Mensch', 'geduldiger Mensch']",['Athlet~innen~ und ~Athleten'],"['Energiebündel', 'Tatmensch', 'Athlet~in~/~Athlet', 'Person, die sich Ziele setzt und sie umsetzt', 'disziplinierter Mensch', 'geduldiger Mensch', 'Athlet~innen~ und ~Athleten']"
Auditor,s,,gendered,titles,"['Audit', 'Wirtschaftsprüfung', 'Betriebsprüfung', 'Überprüfung', 'Auditor~in~/~Auditor', 'Auditierende', 'Person, die den Betrieb prüft']","['Auditierende', 'Auditor~innen~ und ~Auditoren', 'Audit', 'Wirtschaftsprüfung', 'Betriebsprüfung', 'Überprüfung', 'Personen, die den Betrieb prüfen']","['Audit', 'Wirtschaftsprüfung', 'Betriebsprüfung', 'Überprüfung', 'Auditor~in~/~Auditor', 'Person, die den Betrieb prüft', 'Auditierende', 'Auditor~innen~ und ~Auditoren', 'Personen, die den Betrieb prüfen']"
Aufsteiger,s,,gendered,function,"['Aufsteiger~in~/~Aufsteiger', 'aufmerksame Person, die mit neu gewonnem Wissen weiterkommt', 'Person, die aus Erfahrungen lernt', 'Person, die Spaß an neuen Aufgaben hat']","['Aufsteiger~innen~ und ~Aufsteiger', 'aufmerksame Menschen, die neu gewonnenes Wissen nutzen und weiterkommen', 'Leute, die aus Erfahrungen lernen', 'Leute, die Spaß an neuen Aufgaben haben']","['Aufsteiger~in~/~Aufsteiger', 'aufmerksame Person, die mit neu gewonnem Wissen weiterkommt', 'Person, die aus Erfahrungen lernt', 'Person, die Spaß an neuen Aufgaben hat', 'Aufsteiger~innen~ und ~Aufsteiger', 'aufmerksame Menschen, die neu gewonnenes Wissen nutzen und weiterkommen', 'Leute, die aus Erfahrungen lernen', 'Leute, die Spaß an neuen Aufgaben haben']"
Auszubildender,s,,gendered,titles,"['Azubi', 'Ausbildung', 'Ausbildungsabteilung', 'Auszubildend~e~/~Auszubildender', 'Auszubildende', 'Person in der Ausbildung']","['Auszubildende', 'Ausbildung', 'Ausbildungsabteilung', 'Personen in der Ausbildung']","['Ausbildung', 'Ausbildungsabteilung', 'Azubi', 'Auszubildend~e~/~Auszubildender', 'Person in der Ausbildung', 'Auszubildende', 'Personen in der Ausbildung']"
Automatiker,s,,gendered,titles,"['Automatisierung', 'Automatiker~in~/~Automatiker']","['Automatiker~innen~ und ~Automatiker', 'Automatisierung']","['Automatisierung', 'Automatiker~in~/~Automatiker', 'Automatiker~innen~ und ~Automatiker']"
Backender,s,,gendered,titles,"['Back-End-Entwicklung', 'Backender~in~/~Backender', 'Backend-Entwickler~in~/~Backend-Entwickler', 'Person, die den technischen Unterbau entwickelt', 'Person, die das Back-End baut']","['Backender~innen~ und ~Backender', 'Backend-Entwickler~innen~ und ~Backend-Entwickler', 'Back-End-Entwicklung', 'Personen, die den technischen Unterbau entwickeln', 'Personen, die das Back-End bauen']","['Back-End-Entwicklung', 'Backender~in~/~Backender', 'Backend-Entwickler~in~/~Backend-Entwickler', 'Person, die den technischen Unterbau entwickelt', 'Person, die das Back-End baut', 'Backender~innen~ und ~Backender', 'Backend-Entwickler~innen~ und ~Backend-Entwickler', 'Personen, die den technischen Unterbau entwickeln', 'Personen, die das Back-End bauen']"
Bauer,s,,gendered,titles,"['Landbau', 'Landwirtschaft', 'Bäuer~in~/~Bauer', 'Landbauende']","['Landbauende', 'Bäuer~innen~ und ~Bauern', 'Landbau', 'Landwirtschaft']","['Landbau', 'Landwirtschaft', 'Bäuer~in~/~Bauer', 'Landbauende', 'Bäuer~innen~ und ~Bauern']"
Bauwerktrenner,s,,gendered,titles,"['Bauwerktrennung', 'Bauwerktrenner~in~/~Bauwerktrenner']","['Bauwerktrenner~innen~ und ~Bauwerktrenner', 'Bauwerktrennung']","['Bauwerktrennung', 'Bauwerktrenner~in~/~Bauwerktrenner', 'Bauwerktrenner~innen~ und ~Bauwerktrenner']"
Benutzeranleitung,s,,gendered,hidden_image,"['Bedienungsanleitung', 'Gebrauchsanleitung', 'Gebrauchsanweisung', 'Bedienungsanleitungen', 'Gebrauchsanleitungen', 'Gebrauchsanweisungen']","['Bedienungsanleitungen', 'Gebrauchsanleitungen', 'Gebrauchsanweisungen']","['Bedienungsanleitung', 'Gebrauchsanleitung', 'Gebrauchsanweisung', 'Bedienungsanleitungen', 'Gebrauchsanleitungen', 'Gebrauchsanweisungen']"
Benutzerhandbuch,s,,gendered,hidden_image,"['Bedienhandbuch', 'Bedienungshandbuch', 'Betriebshandbuch', 'Bedienhandbücher', 'Bedienungshandbücher', 'Betriebshandbücher']","['Bedienhandbücher', 'Bedienungshandbücher', 'Betriebshandbücher']","['Bedienhandbuch', 'Bedienungshandbuch', 'Betriebshandbuch', 'Bedienhandbücher', 'Bedienungshandbücher', 'Betriebshandbücher']"
Berater,s,,gendered,titles,"['Beratung', 'Berater~in~/~Berater', 'Beratende']","['Beratende', 'Berater~innen~ und ~Berater', 'Beratung']","['Beratung', 'Berater~in~/~Berater', 'Beratende', 'Berater~innen~ und ~Berater']"
Beschäftigter,s,,gendered,titles,"['Beschäftigung', 'Beschäftig~e~/~Beschäftigter', 'Personal', 'Belegschaft', 'Beschäftigte', 'Person, die (im Unternehmen) beschäftigt ist']","['Beschäftigte', 'Personal', 'Belegschaft', 'Beschäftigung', 'Personen/Leute im Unternehmen']","['Beschäftigung', 'Beschäftig~e~/~Beschäftigter', 'Person, die (im Unternehmen) beschäftigt ist', 'Personal', 'Belegschaft', 'Beschäftigte', 'Personen/Leute im Unternehmen']"
Besucher,s,,gendered,titles,"['Besuch', 'Besucher~in~/~Besucher', 'Gäste', 'Besuchende']","['Besuchende', 'Besucher~innen~ und ~Besucher', 'Gäste', 'Besuch']","['Besuch', 'Besucher~in~/~Besucher', 'Gäste', 'Besuchende', 'Besucher~innen~ und ~Besucher']"
Betreuer,s,,gendered,titles,"['Betreuung', 'Betreuer~in~/~Betreuer', 'Betreuungspersonal', 'Betreuungsteam', 'Betreuende']","['Betreuende', 'Betreuer~innen~ und ~Betreuer', 'Betreuungspersonal', 'Betreuungsteam', 'Betreuung']","['Betreuung', 'Betreuer~in~/~Betreuer', 'Betreuungspersonal', 'Betreuungsteam', 'Betreuende', 'Betreuer~innen~ und ~Betreuer']"
Betriebsarzt,s,,gendered,titles,"['betriebsärztliche Untersuchung', 'Betriebsärzt~in~/~Betriebsarzt']","['Betriebsärzt~innen~ und ~Betriebsärzte', 'betriebsärztliche Untersuchung']","['betriebsärztliche Untersuchung', 'Betriebsärzt~in~/~Betriebsarzt', 'Betriebsärzt~innen~ und ~Betriebsärzte']"
Bewerber,s,,gendered,titles,"['Bewerbung', 'Bewerber~in~/~Bewerber', 'Bewerbende', 'Person, die sich bewirbt']","['Bewerbende', 'Bewerber~innen~ und ~Bewerber', 'Bewerbung', 'Personen, die sich bewerben']","['Bewerbung', 'Bewerber~in~/~Bewerber', 'Person, die sich bewirbt', 'Bewerbende', 'Bewerber~innen~ und ~Bewerber', 'Personen, die sich bewerben']"
Boden-Parkettleger,s,,gendered,titles,"['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger']","['Boden-Parkettleger~innen~ und ~Boden-Parkettleger', 'Parkettlegung', 'Parkettverlegung']","['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger', 'Boden-Parkettleger~innen~ und ~Boden-Parkettleger']"
Bodenparkettleger,s,,gendered,titles,"['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger']","['Boden-Parkettleger~innen~ und ~Boden-Parkettleger', 'Parkettlegung', 'Parkettverlegung']","['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger', 'Boden-Parkettleger~innen~ und ~Boden-Parkettleger']"
Bootfachwart,s,,gendered,titles,"['Bootfachwartung', 'Bootfachwart~in~/~Bootfachwart']","['Bootfachwart~innen~ und ~Bootfachwarte', 'Bootfachwartung']","['Bootfachwartung', 'Bootfachwart~in~/~Bootfachwart', 'Bootfachwart~innen~ und ~Bootfachwarte']"
Boss,s,,gendered,leadership,"['leitende Kraft', 'Leitungsperson', 'Leitung', 'Vorgesetzt~e~/~Vorgesetzter', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Vorgesetzte', 'entscheidungsbefugte Person', 'verantwortliche Person']","['leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Vorgesetzte', 'Leitung', 'entscheidungsbefugte Personen', 'verantwortliche Personen']","['Leitung', 'leitende Kraft', 'Leitungsperson', 'Vorgesetzt~e~/~Vorgesetzter', 'entscheidungsbefugte Person', 'verantwortliche Person', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Vorgesetzte', 'entscheidungsbefugte Personen', 'verantwortliche Personen']"
Botschafter,s,,gendered,titles,"['Botschaft', 'Vertretung', 'Botschafter~in~/~Botschafter', 'vermittelnde Person', 'vertretende Person']","['Botschafter~innen~ und ~Botschafter', 'Botschaft', 'Vertretung', 'vermittelnde Personen', 'vertretende Personen']","['Botschaft', 'Vertretung', 'Botschafter~in~/~Botschafter', 'vermittelnde Person', 'vertretende Person', 'Botschafter~innen~ und ~Botschafter', 'vermittelnde Personen', 'vertretende Personen']"
Brückenbauer,s,,gendered,titles,"['Brückenbau', 'Brückenbauer~in~/~Brückenbauer', 'Person, die Brücken (zwischen ...) baut']","['Brückenbauer~innen~ und ~Brückenbauer', 'Brückenbau', 'Personen, die Brücken (zwischen ...) bauen']","['Brückenbau', 'Brückenbauer~in~/~Brückenbauer', 'Person, die Brücken (zwischen ...) baut', 'Brückenbauer~innen~ und ~Brückenbauer', 'Personen, die Brücken (zwischen ...) bauen']"
Buchhändler,s,,gendered,titles,"['Buchhandel', 'Buchhandlung', 'Buchhändler~in~/~Buchhändler']","['Buchhändler~innen~ und ~Buchhändler', 'Buchhandel', 'Buchhandlung']","['Buchhandel', 'Buchhandlung', 'Buchhändler~in~/~Buchhändler', 'Buchhändler~innen~ und ~Buchhändler']"
Carrossier,s,,gendered,titles,"['Carrosserie', 'Autowerkstatt', 'Carrossier~in~/~Carrossier']","['Carrossier~innen~ und ~Carrossiers', 'Carrosserie', 'Autowerkstatt']","['Carrosserie', 'Autowerkstatt', 'Carrossier~in~/~Carrossier', 'Carrossier~innen~ und ~Carrossiers']"
Chef,s,,gendered,leadership,"['Leitungsperson', 'leitende Kraft', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'Vorgesetzt~e~/~Vorgesetzter', 'CEOs', 'Leitungspersonen', 'Vorgesetzte', 'leitende Kräfte', 'Leitungskräfte', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die das Team beim Erreichen gemeinsamer Ziele unterstützt']","['CEOs', 'Leitungspersonen', 'Vorgesetzte', 'leitende Kräfte', 'Leitungskräfte', 'Chef~innen~ und ~Chefs', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'entscheidungsbefugte Personen', 'verantwortliche Personen']","['Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'Leitungsperson', 'leitende Kraft', 'Vorgesetzt~e~/~Vorgesetzter', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die das Team beim Erreichen gemeinsamer Ziele unterstützt', 'CEOs', 'Leitungspersonen', 'Vorgesetzte', 'leitende Kräfte', 'Leitungskräfte', 'Chef~innen~ und ~Chefs', 'entscheidungsbefugte Personen', 'verantwortliche Personen']"
Coiffeur,s,,gendered,titles,"['Coiffure', 'Coiffeur~in~/~Coiffeur', 'frisierende Person', 'Person, die (...) frisiert hat']","['Coiffeur~innen~ und ~Coiffeure', 'Coiffure', 'frisierende Personen']","['Coiffure', 'Coiffeur~in~/~Coiffeur', 'frisierende Person', 'Person, die (...) frisiert hat', 'Coiffeur~innen~ und ~Coiffeure', 'frisierende Personen']"
Confiseur,s,,gendered,titles,"['Confiserie', 'Confiseur~in~/~Confiseur']","['Confiseur~innen~ und ~Confiseure', 'Confiserie']","['Confiserie', 'Confiseur~in~/~Confiseur', 'Confiseur~innen~ und ~Confiseure']"
Consultant,s,,gendered,titles,"['Consulting', 'Beratung', 'Konsultant~in~/~Konsultant', 'von Berufs wegen beratende Person']","['Konsultant~innen~ und ~Konsultanten', 'Consulting', 'Beratung', '(von Berufs wegen) beratende Personen']","['Consulting', 'Beratung', 'Konsultant~in~/~Konsultant', 'von Berufs wegen beratende Person', 'Konsultant~innen~ und ~Konsultanten', '(von Berufs wegen) beratende Personen']"
Controller,s,,gendered,titles,"['Kostenkontrollkraft', 'Finanzfachkraft', 'Controlling-Fachkraft', 'Controlling', 'Controller~in~/~Controller', 'Kostenkontrollkräfte', 'Finanzfachkräfte']","['Kostenkontrollkräfte', 'Finanzfachkräfte', 'Controller~innen~ und ~Controller', 'Controlling']","['Controlling', 'Kostenkontrollkraft', 'Finanzfachkraft', 'Controlling-Fachkraft', 'Controller~in~/~Controller', 'Kostenkontrollkräfte', 'Finanzfachkräfte', 'Controller~innen~ und ~Controller']"
Dachdecker,s,,gendered,titles,"['Dachdeckerei', 'Dachdecker~in~/~Dachdecker', 'Dachdeckende']","['Dachdeckende', 'Dachdecker~innen~ und ~Dachdecker', 'Dachdeckerei']","['Dachdeckerei', 'Dachdecker~in~/~Dachdecker', 'Dachdeckende', 'Dachdecker~innen~ und ~Dachdecker']"
Dekorationsnäher,s,,gendered,titles,"['Dekorationsschneiderei', 'Dekorationsnäher~in~/~Dekorationsnäher']","['Dekorationsnäher~innen~ und ~Dekorationsnäher', 'Dekorationsschneiderei']","['Dekorationsschneiderei', 'Dekorationsnäher~in~/~Dekorationsnäher', 'Dekorationsnäher~innen~ und ~Dekorationsnäher']"
Designer,s,,gendered,titles,"['Design', 'Designer~in~/~Designer', 'Designteam', 'Designschaffende']","['Designschaffende', 'Designer~innen~ und ~Designer', 'Designteam', 'Design']","['Design', 'Designer~in~/~Designer', 'Designteam', 'Designschaffende', 'Designer~innen~ und ~Designer']"
Developer,s,,gendered,titles,"['Development', 'Entwicklung', 'Entwicklungsabteilung', 'Developer~in~/~Developer', 'Entwickler~in~/~Entwickler', 'Development-Team', 'Entwicklungsteam']","['Developer~innen~ und ~Developer', 'Entwickler~innen~ und ~Entwickler', 'Development-Team', 'Entwicklungsteam', 'Development', 'Entwicklung', 'Entwicklungsabteilung']","['Development', 'Entwicklung', 'Entwicklungsabteilung', 'Developer~in~/~Developer', 'Entwickler~in~/~Entwickler', 'Development-Team', 'Entwicklungsteam', 'Developer~innen~ und ~Developer', 'Entwickler~innen~ und ~Entwickler']"
Dienstleister,s,,gendered,titles,"['Dienstleistung', 'Dienstleistungsbetrieb', 'Dienstleister~in~/~Dienstleister', 'Dienstleistungsbetriebe', 'Dienstleistende', 'dienstleistende Person', 'Person im Dientleistungssektor', 'Person, die Dienstleistungen erbringt']","['Dienstleistende', 'Dienstleister~innen~ und ~Dienstleister', 'Dienstleistungsbetriebe', 'Dienstleistung', 'Dienstleistungsbetrieb', 'dienstleistende Personen', 'Personen im Dienstleistungssektor', 'Personen, die Dienstleistungen erbringen']","['Dienstleistung', 'Dienstleistungsbetrieb', 'Dienstleister~in~/~Dienstleister', 'dienstleistende Person', 'Person im Dientleistungssektor', 'Person, die Dienstleistungen erbringt', 'Dienstleistungsbetriebe', 'Dienstleistende', 'Dienstleister~innen~ und ~Dienstleister', 'dienstleistende Personen', 'Personen im Dienstleistungssektor', 'Personen, die Dienstleistungen erbringen']"
Direktor,s,,gendered,leadership,"['Mitglied des Direktoriums', 'Leitung', 'Direktorium', 'Direktorat', 'Direktor~in~/~Direktor', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Mitglieder des Direktoriums', 'Vorgesetzte']","['leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Mitglieder des Direktoriums', 'Vorgesetzte', 'Direktor~innen~ und ~Direktoren', 'Leitung', 'Direktorium', 'Direktorat']","['Leitung', 'Direktorium', 'Direktorat', 'Mitglied des Direktoriums', 'Direktor~in~/~Direktor', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Mitglieder des Direktoriums', 'Vorgesetzte', 'Direktor~innen~ und ~Direktoren']"
Disponent,s,,gendered,titles,"['Dispo', 'Disponent~in~/~Disponent']",['Dispo'],"['Dispo', 'Disponent~in~/~Disponent']"
Diätkoch,s,,gendered,titles,"['Diätfachkraft', 'Diätküche', 'Diätköch~in~/~Diätkoch', 'Diätfachkräfte', 'Person, die Diätspeisen zubereitet', 'Person, die diätetisch kocht']","['Diätfachkräfte', 'Diätköch~innen~ und ~Diätköche', 'Diätküche', 'Personen, die Diätspeisen zubereiten', 'Personen, die diätetisch kochen']","['Diätküche', 'Diätfachkraft', 'Diätköch~in~/~Diätkoch', 'Person, die Diätspeisen zubereitet', 'Person, die diätetisch kocht', 'Diätfachkräfte', 'Diätköch~innen~ und ~Diätköche', 'Personen, die Diätspeisen zubereiten', 'Personen, die diätetisch kochen']"
