Lemma,subcategory,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
Kollege,,1.0,s,n?,"Person, die im selben Team arbeitet | Teammitglied | Person, die im selben Unternehmen arbeitet | Person, die man von der Arbeit kennt | Kollegin/Kollege | Kolleg:in","Kollegschaft | Team | Personen, die im selben Team arbeiten | Teammitglieder | Personen, die im selben Unternehmen arbeiten | Personen, die man von der Arbeit kennt | Kolleginnen und Kollegen | Kolleg:innen","['Person, die im selben Team arbeitet', 'Teammitglied', 'Person, die im selben Unternehmen arbeitet', 'Person, die man von der Arbeit kennt', 'Kolleg~in~/~Kollege']","['Kollegschaft', 'Team', 'Personen, die im selben Team arbeiten', 'Teammitglieder', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt', 'Kolleg~innen~ und ~Kollegen']"
Entwickler,,1.0,s,n?,Entwicklungsteam | Entwicklung | Entwicklerin/Entwickler | Entwickler:in,Entwicklung | Entwicklungsteam | Entwickler:innen | Entwicklerinnen und Entwickler,"['Entwicklungsteam', 'Entwicklung', 'Entwicklerin/Entwickler', 'Entwickler:in']","['Entwicklung', 'Entwicklungsteam', 'Entwickler:innen', 'Entwicklerinnen und Entwickler']"
Designer,,1.0,s,n?,Design | Designerin/Designer | Designer:in,Designteam | Designschaffende | Designer:innen | Designerinnen und Designer,"['Design', 'Designerin/Designer', 'Designer:in']","['Designteam', 'Designschaffende', 'Designer:innen', 'Designerinnen und Designer']"
Partner,,1.0,s,n?,Partnerin/Partner | Partner:in,Partnerinnen und Partner | Partnerschaften,"['Partnerin/Partner', 'Partner:in']","['Partnerinnen und Partner', 'Partnerschaften']"
Researcher,,1.0,s,n?,"Person, die recherchiert | Person, die forscht | Forscherin/Foscher | Forscher:in",Researchteam | Recherchierende | Forschende | Forscher:innen | Forscherinnen und Forscher,"['Person, die recherchiert', 'Person, die forscht', 'Forscherin/Foscher', 'Forscher:in']","['Researchteam', 'Recherchierende', 'Forschende', 'Forscher:innen', 'Forscherinnen und Forscher']"
Analyst,,1.0,s,(en)?,"Person, die analysiert | börsenbeobachtende Person | Börsenfachkraft | Analystin/Analyst | Analyst:in",Analysierende | Börsenbeobachtende | Analyst:innen | Analystinnen und Analysten,"['Person, die analysiert', 'börsenbeobachtende Person', 'Börsenfachkraft', 'Analystin/Analyst', 'Analyst:in']","['Analysierende', 'Börsenbeobachtende', 'Analyst:innen', 'Analystinnen und Analysten']"
Geschäftsleiter,,1.0,s,n?,Geschäftsleiterin/Geschäftsleiter | Geschäftsleiter:in,Geschäftsleitung | Geschäftsleiterinnen und Geschäftsleiter,"['Geschäftsleiterin/Geschäftsleiter', 'Geschäftsleiter:in']","['Geschäftsleitung', 'Geschäftsleiterinnen und Geschäftsleiter']"
Geschäftsführer,,,,,Geschäftsführerin/Geschäftsführer | Geschäftsführer:in,Geschäftsleitung | Geschäftsführerinnen und Geschäftsführer,"['Geschäftsführerin/Geschäftsführer', 'Geschäftsführer:in']","['Geschäftsleitung', 'Geschäftsführerinnen und Geschäftsführer']"
Student,,1.0,s,(en)?,"jemand, der (noch) studiert | Studi | Mitglied der Studentenschaft | Studentinnen/Studenten | Student:in","Personen, die studieren | Studentenschaft | Studierende | Studis | Student:innen | Studentinnen und Studenten","['jemand, der (noch) studiert', 'Studi', 'Mitglied der Studentenschaft', 'Studentinnen/Studenten', 'Student:in']","['Personen, die studieren', 'Studentenschaft', 'Studierende', 'Studis', 'Student:innen', 'Studentinnen und Studenten']"
Lehrling,,1.0,s,e?,Nachwuchskraft | Person in Ausbildung | auszubildende Person,Lernende | Auszubildende,"['Nachwuchskraft', 'Person in Ausbildung', 'auszubildende Person']","['Lernende', 'Auszubildende']"
