Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_clean,Pl_all_clean
Vermittler,s,,gendered,function,,"['Mittelsperson', 'Vermittlung', 'Vermittler~in~/~Vermittler', 'Vermittelnde', 'Person, die helfend vermittelt', 'Person, die vermittelnd (zwischen Personen, Parteien) auftritt']","['Vermittelnde', 'Vermittler~innen~ und ~Vermittler', 'Vermittlung', 'Personen, die helfend vermitteln', 'Personen, die vermittelnd (zwischen Personen, Parteien) auftreten']"
Vertreter,s,,gendered,function,,"['Vertretung', 'Vertreter~in~/~Vertreter', 'Vertretende', 'Person, die die Vertretung übernimmt', 'Person in der Vertretungsrolle']","['Vertretende', 'Vertreter~innen~ und ~Vertreter', 'Vertretung', 'Personen, die die Vertretung übernehmen', 'Personen in der Vertretungsrolle']"
Werker,s,,gendered,function,,"['Fachpraxis', 'Werker~in~/~Werker', 'Fachpraktiker~in~/~Fachpraktiker']",['Fachpraxis']
Zuhörer,s,,gendered,function,,"['Zuhörer~in~/~Zuhörer', 'Publikum', 'Publikumsscharen', 'Zuhörende', 'zuhörende Person', 'Person im Publikum']","['Zuhörende', 'Zuhörer~innen~ und ~Zuhörer', 'Publikum', 'Publikumsscharen', 'Personen, die zuhören', 'Menschen im Publikum']"
Zulieferer,s,,gendered,function,,"['Zulieferung', 'Zulieferfirma', 'zulieferndes Unternehmen', 'Zulieferunternehmen', 'Zuliefer~in~/~Zulieferer', 'Zuliefernde']",['Zuliefernde']
Boss,s,,gendered,leadership,,"['leitende Kraft', 'Leitungsperson', 'Leitung', 'Vorgesetzt~e~/~Vorgesetzter', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Vorgesetzte', 'entscheidungsbefugte Person', 'verantwortliche Person']","['leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Vorgesetzte', 'Leitung', 'entscheidungsbefugte Personen', 'verantwortliche Personen']"
Chef,s,,gendered,leadership,,"['Leitungsperson', 'leitende Kraft', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'Vorgesetzt~e~/~Vorgesetzter', 'CEOs', 'Leitungspersonen', 'Vorgesetzte', 'leitende Kräfte', 'Leitungskräfte', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die das Team beim Erreichen gemeinsamer Ziele unterstützt']","['CEOs', 'Leitungspersonen', 'Vorgesetzte', 'leitende Kräfte', 'Leitungskräfte', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'entscheidungsbefugte Personen', 'verantwortliche Personen']"
Direktor,s,,gendered,leadership,,"['Mitglied des Direktoriums', 'Leitung', 'Direktorium', 'Direktorat', 'Direktor~in~/~Direktor', 'leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Mitglieder des Direktoriums', 'Vorgesetzte']","['leitende Kräfte', 'Leitungskräfte', 'Leitungspersonen', 'Mitglieder des Direktoriums', 'Vorgesetzte', 'Direktor~innen~ und ~Direktoren', 'Leitung', 'Direktorium', 'Direktorat']"
Führer,s,,gendered,leadership,,"['leitende Kraft', 'Leitungsperson', 'Steuerungsperson', 'Lenkungsperson', 'Führungsperson', 'Leitung', 'Lenkung', 'Steuerung', 'Management', 'Gruppenleitung', 'Führer~in~/~Führer', 'entscheidungsbefugte Person', 'verantwortliche Person', 'lenkende Person', 'Person, die eine Gruppe lenkt/leitet', 'Person, die die gemeinsame Vision kommuniziert', 'Person, die das Team unterstützt und coacht']","['Führer~innen~ und ~Führer', 'Leitung', 'Lenkung', 'Steuerung', 'Management', 'Gruppenleitung', 'Personen in Ausbildung', 'auszubildende Personen', 'lernende Person']"
Geschäftsführer,s,,gendered,leadership,,"['leitende Kraft', 'Leitungsperson', 'Führungsperson', 'Lenkungsperson', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'Geschäftsführer~in~/~Geschäftsführer', 'entscheidungsbefugte Person', 'verantwortliche Person']","['Geschäftsführer~innen~ und ~Geschäftsführer', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', 'entscheidungsbefugte Personen', 'verantwortliche Person']"
Geschäftsleiter,s,,gendered,leadership,,"['leitende Kraft', 'Leitungsperson', 'Geschäftsleitung', 'Management', 'Firmenleitung', 'Unternehmensführung', 'Geschäftsleiter~in~/~Geschäftsleiter', 'entscheidungsbefugte Person', 'verantwortliche Person']","['Geschäftsleiter~innen~ und ~Geschäftsleiter', 'Geschäftsleitung', 'Management', 'Firmenleitung', 'Unternehmensführung', 'entscheidungsbefugte Personen', 'verantwortliche Person']"
Head,s,,gendered,leadership,americanism,"['Leitungsperson', 'Leitungskraft', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', '| Vorgesetzt~e~/~Vorgesetzter', 'die kreativen Kräfte (einer Agentur, Abteilung, Firma)', 'die strategisch denkenden Kräfte', 'entscheidungsbefugte Person', 'verantwortliche Person', 'Person, die eine gemeinsame Vision kommuniziert', 'Person, die das Team unterstützt und coacht', 'Person, die die kreative Richtung findet', 'Person, die strategisch denkt']","['die kreativen Kräfte (einer Agentur, Abteilung, Firma)', 'die strategisch denkenden Kräfte', 'Leitung', 'Geschäftsführung', 'Management', 'Direktorium', 'Firmenleitung', 'Unternehmensleitung', '| entscheidungsbefugte Personen', 'verantwortliche Person']"
Leader,s,,gendered,leadership,americanism,"['Leitung', 'Leadership', 'Leiter~in~/~Leiter', 'Team-Coaching']","['Leitung', 'Leadership']"
Leiter,s,,gendered,leadership,,"['Leitung', 'Leiter~in~/~Leiter']","['Leitung', 'Leiter~innen~ und ~Leiter', 'Leitung']"
Lernpate,s,,gendered,leadership,,"['Lernpat~innenschaft', 'Lernpat~in~/~Lernpate']","['Lernpat~innen~ und ~Lernpaten', 'Lernpat~innenschaft']"
Trainer,s,,gendered,leadership,,"['Trainingsperson', 'Training', 'Trainer~in~/~Trainer']",['Training']
Vorgesetzter,s,,gendered,leadership,,"['Leitungsperson', 'Führungsperson', 'Vorgesetzt~e~/~Vorgesetzter']",[]
